experiment,contrast,tf,score,padj,n_targets
CRISPR,Het_vs_WT,Zfp24,5.446013380956352,3.268716318416409e-05,5
CRISPR,Het_vs_WT,Atf3,-3.426168546004451,0.04794967919588089,77
CRISPR,Het_vs_WT,Foxc1,-3.6026390444923817,0.04794967919588089,9
CRISPR,Het_vs_WT,Mbd1,-3.459444281104223,0.04794967919588089,12
CRISPR,Het_vs_WT,Nfe2l1,-3.632680618034119,0.04794967919588089,6
CRISPR,Het_vs_WT,Nfyb,-3.4956496703336897,0.04794967919588089,28
CRISPR,Het_vs_WT,Pax7,-3.6493402440065554,0.04794967919588089,12
CRISPR,Het_vs_WT,Rara,-3.4468943054067367,0.04794967919588089,100
CRISPR,Het_vs_WT,Plag1,-3.3486178590401203,0.05124886706471443,6
CRISPR,Het_vs_WT,Zfpm2,-3.346621560632597,0.05124886706471443,9
CRISPR,Het_vs_WT,Arid4b,-3.184057063383418,0.06934531033039093,5
CRISPR,Het_vs_WT,Atf6,2.971309425865689,0.06934531033039093,43
CRISPR,Het_vs_WT,Ebf1,-3.02692373341239,0.06934531033039093,13
CRISPR,Het_vs_WT,Egr2,-2.989723352299551,0.06934531033039093,45
CRISPR,Het_vs_WT,Foxp1,3.061801949069322,0.06934531033039093,9
CRISPR,Het_vs_WT,Gata5,3.0821408775713506,0.06934531033039093,13
CRISPR,Het_vs_WT,Hes1,-3.1642235943087282,0.06934531033039093,60
CRISPR,Het_vs_WT,Hesx1,3.1620403742298704,0.06934531033039093,13
CRISPR,Het_vs_WT,Hr,-2.931421340761087,0.06934531033039093,55
CRISPR,Het_vs_WT,Irf2,-3.059504034765475,0.06934531033039093,39
CRISPR,Het_vs_WT,Irf5,-3.1144307425351014,0.06934531033039093,8
CRISPR,Het_vs_WT,Irx1,2.9384988112800237,0.06934531033039093,13
CRISPR,Het_vs_WT,Nfic,-2.963609522659243,0.06934531033039093,42
CRISPR,Het_vs_WT,Nfya,-3.0101694155044894,0.06934531033039093,71
CRISPR,Het_vs_WT,Nr1d1,3.189967771729545,0.06934531033039093,12
CRISPR,Het_vs_WT,Pdx1,3.014213886939322,0.06934531033039093,48
CRISPR,Het_vs_WT,Tal1,-3.0437204484127602,0.06934531033039093,57
CRISPR,Het_vs_WT,Tcf3,-3.0945151331023797,0.06934531033039093,71
CRISPR,Het_vs_WT,Zbtb18,2.97027434058118,0.06934531033039093,7
CRISPR,Het_vs_WT,Zeb2,-2.9259083889841286,0.06934531033039093,20
CRISPR,Het_vs_WT,Zmynd8,-2.9540626981139035,0.06934531033039093,8
CRISPR,Het_vs_WT,Bach1,2.8903756243069907,0.0708305761218071,13
CRISPR,Het_vs_WT,Lef1,-2.891919116172466,0.0708305761218071,59
CRISPR,Het_vs_WT,Sox17,2.897414214513184,0.0708305761218071,23
CRISPR,Het_vs_WT,Ascl2,-2.8329143091110103,0.08247420936822891,5
CRISPR,Het_vs_WT,Erg,-2.776300145301101,0.09298599511384964,34
CRISPR,Het_vs_WT,Zeb1,-2.783093013241124,0.09298599511384964,36
CRISPR,Het_vs_WT,Nfat5,-2.7610744843122714,0.09486780315637589,34
CRISPR,Het_vs_WT,Hoxd13,2.740634222737431,0.09838347882032394,11
CRISPR,Het_vs_WT,Mef2a,2.7254351962255283,0.10037247836589813,61
CRISPR,Het_vs_WT,Rest,2.717531329460843,0.10037247836589813,29
CRISPR,Het_vs_WT,Lmo2,2.6978952255841957,0.10395132005214691,16
CRISPR,Het_vs_WT,Notch1,-2.6204195373066828,0.12486891448497772,40
CRISPR,Het_vs_WT,Zfp148,2.6224251225109634,0.12486891448497772,20
CRISPR,Het_vs_WT,Rfx1,2.6005541147210223,0.12939181923866272,13
CRISPR,Het_vs_WT,Kdm5b,-2.5756488664934305,0.1360657662153244,22
CRISPR,Het_vs_WT,Hif1a,2.5534998129569932,0.13898654282093048,332
CRISPR,Het_vs_WT,Zbtb16,-2.5552344324401655,0.13898654282093048,40
CRISPR,Het_vs_WT,Hopx,2.51721317556289,0.14229296147823334,6
CRISPR,Het_vs_WT,Mlxipl,-2.517538571655737,0.14229296147823334,9
CRISPR,Het_vs_WT,Trim28,-2.536351024381283,0.14229296147823334,8
CRISPR,Het_vs_WT,Ybx3,2.520649013568387,0.14229296147823334,22
CRISPR,Het_vs_WT,Crebbp,-2.4796290033187116,0.14353515207767487,25
CRISPR,Het_vs_WT,E2f7,2.5064958582340493,0.14353515207767487,6
CRISPR,Het_vs_WT,Epas1,2.475381180485922,0.14353515207767487,63
CRISPR,Het_vs_WT,Hdac9,-2.4981752616910713,0.14353515207767487,15
CRISPR,Het_vs_WT,Pax5,-2.483365516897256,0.14353515207767487,41
CRISPR,Het_vs_WT,Rfx5,2.479963690928692,0.14353515207767487,7
CRISPR,Het_vs_WT,Hoxd3,2.467798991052342,0.14412535727024078,8
CRISPR,Het_vs_WT,Hlx,2.444752593898889,0.1462325006723404,12
CRISPR,Het_vs_WT,Pou3f1,2.4452553658865774,0.1462325006723404,8
CRISPR,Het_vs_WT,Stat5b,2.453020511942584,0.1462325006723404,58
CRISPR,Het_vs_WT,Klf6,2.4302804075450637,0.14978641271591187,35
CRISPR,Het_vs_WT,Nfkbib,2.422443793397754,0.1506635993719101,12
CRISPR,Het_vs_WT,Nfyc,-2.4042610648287512,0.15593183040618896,16
CRISPR,Het_vs_WT,Maz,2.374365900794367,0.16412614285945892,25
CRISPR,Het_vs_WT,Ssrp1,2.374302105832944,0.16412614285945892,81
CRISPR,Het_vs_WT,Elf4,2.368278291169607,0.16436895728111267,29
CRISPR,Het_vs_WT,Nkx6-1,2.3610937083140926,0.16515840590000153,5
CRISPR,Het_vs_WT,Hic1,-2.346657652375506,0.16924314200878143,17
CRISPR,Het_vs_WT,Etv3,-2.316156447702805,0.1713564097881317,11
CRISPR,Het_vs_WT,Hdac1,2.3166387846438488,0.1713564097881317,58
CRISPR,Het_vs_WT,Klf2,-2.3176529960167094,0.1713564097881317,41
CRISPR,Het_vs_WT,Klf9,-2.328256582824691,0.1713564097881317,16
CRISPR,Het_vs_WT,Trp63,-2.322873616764622,0.1713564097881317,143
CRISPR,Het_vs_WT,Etv1,2.2942677933764983,0.175541490316391,16
