experiment,contrast,tf,score,padj,n_targets
humanKD,KD_vs_Control,E2F1,6.024187792680639,1.2320895166340051e-06,297
humanKD,KD_vs_Control,E2F4,5.005551439965825,0.00020033562032040209,165
humanKD,KD_vs_Control,E2F3,4.481287632082528,0.0017743912758305669,67
humanKD,KD_vs_Control,SP1,4.289551958126689,0.0032088817097246647,1108
humanKD,KD_vs_Control,NKX3-1,3.8955260772050253,0.014032233506441116,66
humanKD,KD_vs_Control,PAX1,-3.8070599738907323,0.016778521239757538,6
humanKD,KD_vs_Control,SP3,3.6210571256322734,0.02999172918498516,375
humanKD,KD_vs_Control,SKIL,-3.5103383075792314,0.035572994500398636,18
humanKD,KD_vs_Control,TP73,3.5344242485988966,0.035572994500398636,110
humanKD,KD_vs_Control,ARID1A,3.4541315418618983,0.03589923307299614,5
humanKD,KD_vs_Control,HR,3.4666308393400866,0.03589923307299614,75
humanKD,KD_vs_Control,GTF3A,3.3452631280161316,0.04899046570062637,25
humanKD,KD_vs_Control,DMTF1,3.2446027247084355,0.06469044834375381,15
humanKD,KD_vs_Control,MYCN,3.1979613562440132,0.07068166881799698,133
humanKD,KD_vs_Control,TBPL1,3.161706067618239,0.0747571513056755,33
humanKD,KD_vs_Control,STAT5B,3.12516061074889,0.07940152287483215,78
humanKD,KD_vs_Control,MYC,3.0584124579889527,0.07952909171581268,808
humanKD,KD_vs_Control,SMAD3,3.0958278195516273,0.07952909171581268,148
humanKD,KD_vs_Control,STAT2,3.0731948617600624,0.07952909171581268,39
humanKD,KD_vs_Control,TP53,3.0740235572721164,0.07952909171581268,867
humanKD,KD_vs_Control,ARID3A,3.0103383465730027,0.08567840605974197,6
humanKD,KD_vs_Control,NOTCH1,3.0071515862916587,0.08567840605974197,59
humanKD,KD_vs_Control,SP2,2.9361504076224656,0.10326442122459412,21
humanKD,KD_vs_Control,E2F2,2.914862333270858,0.10596682876348495,50
humanKD,KD_vs_Control,GATA1,2.8964062832843798,0.10790582746267319,96
humanKD,KD_vs_Control,POU3F2,2.85410754846486,0.11862490326166153,23
humanKD,KD_vs_Control,PBRM1,2.835753756294333,0.121004119515419,7
humanKD,KD_vs_Control,BACH1,2.7591407877231995,0.12179937213659286,14
humanKD,KD_vs_Control,BCL11A,-2.7809982893138003,0.12179937213659286,9
humanKD,KD_vs_Control,DDIT3,2.82120016481596,0.12179937213659286,82
humanKD,KD_vs_Control,GLIS3,-2.7644800324340344,0.12179937213659286,5
humanKD,KD_vs_Control,NKX2-1,2.787725139096318,0.12179937213659286,48
humanKD,KD_vs_Control,RELA,2.777689582532006,0.12179937213659286,448
humanKD,KD_vs_Control,SMAD7,-2.7819220895986567,0.12179937213659286,57
humanKD,KD_vs_Control,EGR1,2.712418858308443,0.1243434026837349,314
humanKD,KD_vs_Control,ERF,2.698709113226504,0.1243434026837349,14
humanKD,KD_vs_Control,FOXG1,-2.7358456555817314,0.1243434026837349,17
humanKD,KD_vs_Control,LHX3,2.704934729950877,0.1243434026837349,9
humanKD,KD_vs_Control,NR1I2,2.7278030298145364,0.1243434026837349,195
humanKD,KD_vs_Control,REST,-2.703792880448671,0.1243434026837349,54
humanKD,KD_vs_Control,GTF2I,2.68050668379024,0.12810823321342468,21
humanKD,KD_vs_Control,ASCL2,-2.6542729437462707,0.13240881264209747,6
humanKD,KD_vs_Control,SREBF2,-2.653393752259007,0.13240881264209747,62
humanKD,KD_vs_Control,HBP1,-2.6088188714343095,0.14098581671714783,42
humanKD,KD_vs_Control,PLAG1,2.614948657856009,0.14098581671714783,8
humanKD,KD_vs_Control,REL,2.6203557660939163,0.14098581671714783,82
humanKD,KD_vs_Control,STAT1,2.6017628956858148,0.14098581671714783,249
humanKD,KD_vs_Control,E4F1,2.546392588768486,0.152938574552536,10
humanKD,KD_vs_Control,NPM1,2.552629219804174,0.152938574552536,11
