experiment,contrast,tf,score,padj,n_targets,dose_label
CRISPR,Het_vs_WT,Zfp24,5.446013380956352,3.268716318416409e-05,5,CRISPR Het
CRISPR,Het_vs_WT,Atf3,-3.426168546004451,0.04794967919588089,77,CRISPR Het
CRISPR,Het_vs_WT,Foxc1,-3.6026390444923817,0.04794967919588089,9,CRISPR Het
CRISPR,Het_vs_WT,Mbd1,-3.459444281104223,0.04794967919588089,12,CRISPR Het
CRISPR,Het_vs_WT,Nfe2l1,-3.632680618034119,0.04794967919588089,6,CRISPR Het
CRISPR,Het_vs_WT,Nfyb,-3.4956496703336897,0.04794967919588089,28,CRISPR Het
CRISPR,Het_vs_WT,Pax7,-3.6493402440065554,0.04794967919588089,12,CRISPR Het
CRISPR,Het_vs_WT,Rara,-3.4468943054067367,0.04794967919588089,100,CRISPR Het
CRISPR,Het_vs_WT,Plag1,-3.3486178590401203,0.05124886706471443,6,CRISPR Het
CRISPR,Het_vs_WT,Zfpm2,-3.346621560632597,0.05124886706471443,9,CRISPR Het
CRISPR,Het_vs_WT,Arid4b,-3.184057063383418,0.06934531033039093,5,CRISPR Het
CRISPR,Het_vs_WT,Atf6,2.971309425865689,0.06934531033039093,43,CRISPR Het
CRISPR,Het_vs_WT,Ebf1,-3.02692373341239,0.06934531033039093,13,CRISPR Het
CRISPR,Het_vs_WT,Egr2,-2.989723352299551,0.06934531033039093,45,CRISPR Het
CRISPR,Het_vs_WT,Foxp1,3.061801949069322,0.06934531033039093,9,CRISPR Het
CRISPR,Het_vs_WT,Gata5,3.0821408775713506,0.06934531033039093,13,CRISPR Het
CRISPR,Het_vs_WT,Hes1,-3.1642235943087282,0.06934531033039093,60,CRISPR Het
CRISPR,Het_vs_WT,Hesx1,3.1620403742298704,0.06934531033039093,13,CRISPR Het
CRISPR,Het_vs_WT,Hr,-2.931421340761087,0.06934531033039093,55,CRISPR Het
CRISPR,Het_vs_WT,Irf2,-3.059504034765475,0.06934531033039093,39,CRISPR Het
