experiment,contrast,tf,score,padj,n_targets,dose_label
CRISPR,Het_vs_WT,Atf3,-3.426168546004451,0.04794967919588089,77,CRISPR Het
CRISPR,KO_vs_WT,Atf3,-3.139816685654321,0.04438761994242668,77,CRISPR KO
mouseKD,KD_vs_Control,Atf3,-1.517802628842315,0.4000283479690552,79,mouseKD
CRISPR,Het_vs_WT,Pax7,-3.6493402440065554,0.04794967919588089,12,CRISPR Het
CRISPR,KO_vs_WT,Pax7,-3.3186327772662296,0.033334095031023026,12,CRISPR KO
mouseKD,KD_vs_Control,Pax7,0.5485137875336952,0.786727249622345,12,mouseKD
CRISPR,Het_vs_WT,Rara,-3.4468943054067367,0.04794967919588089,100,CRISPR Het
CRISPR,KO_vs_WT,Rara,-3.7384712224555754,0.016590319573879242,100,CRISPR KO
mouseKD,KD_vs_Control,Rara,1.2495792025925725,0.493399977684021,113,mouseKD
CRISPR,Het_vs_WT,Zfp24,5.446013380956352,3.268716318416409e-05,5,CRISPR Het
CRISPR,KO_vs_WT,Zfp24,4.890668578255709,0.0006344158900901675,5,CRISPR KO
mouseKD,KD_vs_Control,Zfp24,0.316052072526849,0.8800197839736938,5,mouseKD
