experiment,contrast,tf,score,padj,n_targets
mouseKD,KD_vs_Control,Stat1,7.069827224525051,1.0462746224959574e-09,217
mouseKD,KD_vs_Control,Bmal1,-5.573865197805755,8.185937986127101e-06,44
mouseKD,KD_vs_Control,Bmal2,-5.23236901498993,3.652071609394625e-05,6
mouseKD,KD_vs_Control,Irf9,5.029686500340056,8.025695569813251e-05,16
mouseKD,KD_vs_Control,Clock,-4.847204287025952,0.00013616043725050986,50
mouseKD,KD_vs_Control,Irf4,4.870440847423421,0.00013616043725050986,27
mouseKD,KD_vs_Control,Sp1,4.468996620009203,0.0007305503822863102,889
mouseKD,KD_vs_Control,Myb,4.386329084084575,0.0009372178465127945,122
mouseKD,KD_vs_Control,Ets2,4.299237033434697,0.0010128531139343977,75
mouseKD,KD_vs_Control,Jun,4.331052961620094,0.0010128531139343977,409
mouseKD,KD_vs_Control,Scx,4.303624220019254,0.0010128531139343977,8
mouseKD,KD_vs_Control,Nr1d1,4.256198852393929,0.0011261549079790711,13
mouseKD,KD_vs_Control,Mafa,4.211469632089773,0.0012586871162056923,8
mouseKD,KD_vs_Control,Zbtb18,-4.196374170116636,0.0012586871162056923,7
mouseKD,KD_vs_Control,Nfe2l2,4.1380999053461744,0.001516384887509048,155
mouseKD,KD_vs_Control,Nfil3,-4.0995491671295605,0.0016801332822069526,18
mouseKD,KD_vs_Control,Smad3,3.9818784953891555,0.002610393799841404,130
mouseKD,KD_vs_Control,Klf9,3.9195746521259784,0.003197654150426388,17
mouseKD,KD_vs_Control,Irf3,3.699591827555768,0.007368364371359348,52
mouseKD,KD_vs_Control,Stat3,3.662316352101171,0.008010149002075195,291
mouseKD,KD_vs_Control,Zbtb7b,3.6526877928500308,0.008010149002075195,9
mouseKD,KD_vs_Control,Cebpb,3.6234117545579294,0.00856541283428669,286
mouseKD,KD_vs_Control,Spi1,3.609819582067659,0.00863411370664835,193
mouseKD,KD_vs_Control,Barx2,3.4650979424195225,0.014306684024631977,13
mouseKD,KD_vs_Control,Mef2d,-3.451468072532979,0.014446602202951908,19
mouseKD,KD_vs_Control,Irf1,3.4033359462853916,0.015968671068549156,110
mouseKD,KD_vs_Control,Npas2,-3.4079796093289465,0.015968671068549156,7
mouseKD,KD_vs_Control,Ctnnb1,3.3400019284991425,0.01808406598865986,231
mouseKD,KD_vs_Control,Nfe2l3,3.3575992478466485,0.01808406598865986,7
mouseKD,KD_vs_Control,Tcf7l2,3.346700855089733,0.01808406598865986,92
mouseKD,KD_vs_Control,Gli2,-3.27537955876468,0.020094212144613266,106
mouseKD,KD_vs_Control,Hmga1,3.283135438553865,0.020094212144613266,45
mouseKD,KD_vs_Control,Hmga1b,3.283135438553865,0.020094212144613266,45
mouseKD,KD_vs_Control,Hoxa5,3.2891338559577217,0.020094212144613266,8
mouseKD,KD_vs_Control,Cebpa,3.233873980139693,0.02231375314295292,132
mouseKD,KD_vs_Control,Hdac3,3.229325728320956,0.02231375314295292,18
mouseKD,KD_vs_Control,Nfe2,3.2089241371760604,0.023310525342822075,9
mouseKD,KD_vs_Control,Rfx1,3.1488587215501367,0.02791915461421013,14
mouseKD,KD_vs_Control,Prdm4,-3.1343226213764663,0.02858681045472622,6
mouseKD,KD_vs_Control,Cxxc1,3.102400812283589,0.03105866350233555,15
mouseKD,KD_vs_Control,Hr,3.093509985863791,0.031223345547914505,62
mouseKD,KD_vs_Control,Esr1,3.0842918852920964,0.03143982216715813,422
mouseKD,KD_vs_Control,Phf20,3.077033236511975,0.03146591782569885,6
mouseKD,KD_vs_Control,Pitx2,3.023483049707321,0.036749254912137985,84
mouseKD,KD_vs_Control,Zfp362,2.9965926110556746,0.03925684839487076,13
mouseKD,KD_vs_Control,Bhlhe41,-2.9457831494954227,0.04530879855155945,19
mouseKD,KD_vs_Control,Vhl,2.921177428289823,0.04800054803490639,21
mouseKD,KD_vs_Control,Olig2,-2.8940453085319464,0.04824230074882507,11
mouseKD,KD_vs_Control,Stat2,2.8960299157149803,0.04824230074882507,31
mouseKD,KD_vs_Control,Tfcp2,2.9007256770162377,0.04824230074882507,45
mouseKD,KD_vs_Control,Zfpm2,-2.911688511116075,0.04824230074882507,9
mouseKD,KD_vs_Control,Atf6,-2.8363931603719457,0.056757621467113495,46
mouseKD,KD_vs_Control,Etv1,2.8016684042407425,0.060896407812833786,16
mouseKD,KD_vs_Control,Mef2c,-2.807017530483386,0.060896407812833786,43
mouseKD,KD_vs_Control,Bcl11a,2.7471297667927113,0.07069703191518784,6
mouseKD,KD_vs_Control,Foxa3,2.715351192570325,0.07646006345748901,7
mouseKD,KD_vs_Control,Hif1a,2.703172055440905,0.07792619615793228,345
mouseKD,KD_vs_Control,Klf5,-2.6816361238968693,0.07896612584590912,57
mouseKD,KD_vs_Control,Lhx2,2.6816915454429546,0.07896612584590912,16
mouseKD,KD_vs_Control,Spib,-2.68178355420817,0.07896612584590912,8
mouseKD,KD_vs_Control,Msx1,-2.6552369678656684,0.08401843160390854,17
mouseKD,KD_vs_Control,Sp7,2.6402273286143703,0.08504236489534378,28
mouseKD,KD_vs_Control,Usf2,2.6447854706461946,0.08504236489534378,72
mouseKD,KD_vs_Control,Neurod1,2.6337465230453523,0.08532753586769104,32
mouseKD,KD_vs_Control,E2f1,-2.6255064394712133,0.08607485145330429,267
mouseKD,KD_vs_Control,Brca1,2.607013736584601,0.08911988884210587,49
mouseKD,KD_vs_Control,Esrra,-2.5931626098506344,0.08911988884210587,31
mouseKD,KD_vs_Control,Runx2,2.598228859123634,0.08911988884210587,91
mouseKD,KD_vs_Control,Tsc22d1,2.596230021777894,0.08911988884210587,7
mouseKD,KD_vs_Control,Hesx1,-2.586229933728284,0.08963280916213989,17
mouseKD,KD_vs_Control,Etv4,2.5660775511997356,0.09072726219892502,46
mouseKD,KD_vs_Control,Klf2,2.558131408693507,0.09072726219892502,42
mouseKD,KD_vs_Control,Mafb,2.5621731338829608,0.09072726219892502,23
mouseKD,KD_vs_Control,Snai1,2.5637674255249414,0.09072726219892502,72
mouseKD,KD_vs_Control,Sp3,2.5693800208751387,0.09072726219892502,284
mouseKD,KD_vs_Control,Relb,2.5527874523628333,0.09091825783252716,34
mouseKD,KD_vs_Control,Zfp143,-2.5244513445721695,0.09730366617441177,24
mouseKD,KD_vs_Control,Trp63,2.5107712800058,0.09985822439193726,152
mouseKD,KD_vs_Control,Kat7,2.4840320350698324,0.10520996153354645,57
mouseKD,KD_vs_Control,Tcf12,2.4832690029290454,0.10520996153354645,33
mouseKD,KD_vs_Control,Hsf1,-2.468063041696228,0.10842984169721603,68
mouseKD,KD_vs_Control,Nr2e3,2.4588866960523235,0.10988342761993408,6
mouseKD,KD_vs_Control,Sirt1,-2.4397509228342784,0.1144811138510704,43
mouseKD,KD_vs_Control,Prdm1,-2.4315353584807577,0.11571542918682098,33
mouseKD,KD_vs_Control,Mxd1,2.4193558816993685,0.11825459450483322,21
mouseKD,KD_vs_Control,Hipk2,-2.4139770981093713,0.11858868598937988,9
mouseKD,KD_vs_Control,Smarcb1,2.4036847422919,0.11858868598937988,5
mouseKD,KD_vs_Control,Tox3,2.4029783746623212,0.11858868598937988,6
mouseKD,KD_vs_Control,Xbp1,-2.4015449833338685,0.11858868598937988,43
mouseKD,KD_vs_Control,Nkx3-1,2.3889140331871084,0.12137994170188904,54
mouseKD,KD_vs_Control,Tcf20,2.367904340697834,0.1270827353000641,5
mouseKD,KD_vs_Control,Smarcc1,2.353741226474383,0.13059276342391968,7
mouseKD,KD_vs_Control,Tbx2,-2.335358382056968,0.13427039980888367,24
mouseKD,KD_vs_Control,Zmynd8,-2.3368036641459478,0.13427039980888367,7
mouseKD,KD_vs_Control,Foxn1,2.323528355657687,0.13711561262607574,34
mouseKD,KD_vs_Control,Ssrp1,2.3147116330281503,0.13890433311462402,91
mouseKD,KD_vs_Control,Myc,2.3000922429791326,0.14289674162864685,723
mouseKD,KD_vs_Control,Cebpg,2.256387178054733,0.15700216591358185,117
mouseKD,KD_vs_Control,Hes1,2.25776499742731,0.15700216591358185,67
mouseKD,KD_vs_Control,Zfp148,2.2371604993897725,0.1633763462305069,22
mouseKD,KD_vs_Control,Atf4,2.2183979323248995,0.16976752877235413,92
mouseKD,KD_vs_Control,Tcf3,2.2141593032525533,0.16994091868400574,80
mouseKD,KD_vs_Control,Etv6,-2.192371678254791,0.1779194474220276,20
mouseKD,KD_vs_Control,Elf3,2.184288794390402,0.17986401915550232,17
mouseKD,KD_vs_Control,Zic2,-2.1601018671947942,0.18937364220619202,5
mouseKD,KD_vs_Control,Runx3,-2.1541370173868755,0.19041933119297028,49
mouseKD,KD_vs_Control,Hmga2,2.145023562416049,0.19299669563770294,33
mouseKD,KD_vs_Control,Tgfb1i1,2.128837452424495,0.1990872025489807,13
mouseKD,KD_vs_Control,Junb,2.095134107043191,0.21053646504878998,67
mouseKD,KD_vs_Control,Sox11,2.0961663790551857,0.21053646504878998,9
mouseKD,KD_vs_Control,Wt1,2.0970638091804124,0.21053646504878998,115
mouseKD,KD_vs_Control,Tbx5,-2.082778281543332,0.2150736302137375,14
mouseKD,KD_vs_Control,Neurog3,2.0713911267042113,0.21536676585674286,10
mouseKD,KD_vs_Control,Rarb,2.072888109603131,0.21536676585674286,41
mouseKD,KD_vs_Control,Rarg,2.077616463744129,0.21536676585674286,25
