"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","description"
"ENSMUSG00000063011",521.650893557947,4.52903461308558,0.199389009895588,2.12957372111161e-115,3.42861369098969e-111,"56047","Msln","protein_coding","17",25967587,25973352,"mesothelin [Source:MGI Symbol;Acc:MGI:1888992]"
"ENSMUSG00000022865",784.643329808716,4.49371737656298,0.259420490563248,1.27567120254544e-68,1.02691531804908e-64,"13052","Cxadr","protein_coding","16",78098377,78156662,"coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"ENSMUSG00000046572",178.661046122485,-5.90177330911443,0.366067758464788,4.26388652583807e-59,2.28828576886643e-55,"100515","Zfp518b","protein_coding","5",38825827,38842169,"zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]"
"ENSMUSG00000032826",515.789791204147,-2.6560488961212,0.171701387215838,2.12387358169763e-55,8.54859116633295e-52,"109676","Ank2","protein_coding","3",126715261,127292999,"ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]"
"ENSMUSG00000026915",325.099439416279,3.29588797779672,0.222392691427313,6.35442669750024e-51,2.04612539659508e-47,"20744","Strbp","protein_coding","2",37373240,37593871,"spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]"
"ENSMUSG00000062393",122.584082154602,-4.74671953540859,0.342083135172652,1.05138308277694e-44,2.82121127211813e-41,"331374","Dgkk","protein_coding","X",6690410,6814602,"diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]"
"ENSMUSG00000029673",137.97896125738,-4.3679155675021,0.318559199530622,6.42161468966761e-44,1.47697137862355e-40,"319974","Auts2","protein_coding","5",131466171,132572183,"autism susceptibility candidate 2 [Source:MGI Symbol;Acc:MGI:1919847]"
"ENSMUSG00000020186",2314.83046300707,-1.43783188864753,0.10856768198531,2.88730830633737e-41,5.81070796650395e-38,"13008","Csrp2","protein_coding","10",110755650,110775483,"cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]"
"ENSMUSG00000020524",1685.05034602299,-3.09759194283152,0.239521710447332,1.44254121754396e-39,2.58054595582864e-36,"14799","Gria1","protein_coding","11",56902213,57221070,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]"
"ENSMUSG00000000753",2570.49480762643,-3.24230873815481,0.251746310784216,3.14280009736238e-39,5.05990815675343e-36,"20317","Serpinf1","protein_coding","11",75300595,75313527,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
