"ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","description","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"ENSMUSG00000000001","14679","Gnai3","protein_coding","3",108014596,108053462,"G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]",5927.15793976961,5728.01809753483,6733.3813723387,6204.80024270817,6591.56461097426,6883.45836065393,5355.66902707212,5805.96748928716,5291.65849877512
"ENSMUSG00000000028","12544","Cdc45","protein_coding","16",18599197,18630737,"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]",954.446178389748,1198.16317384288,857.497879749278,976.0980962607,1248.29916547469,1019.85965695753,815.201298041152,801.273103713714,957.030883586697
"ENSMUSG00000000031","14955","H19","lncRNA","7",142129262,142133957,"H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]",45.5995703019814,47.6929289344446,125.949079750084,160.287909351984,89.0893610960109,97.4691047441931,327.99582329409,217.935844169691,285.303546427732
"ENSMUSG00000000037","107815","Scml2","protein_coding","X",159865521,160041209,"Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]",2.35859846389559,0,1.3051718108817,47.5336558767952,34.587634307863,26.1502476142957,28.7295611644459,19.5750758236249,7.22287459310715
"ENSMUSG00000000056","67608","Narf","protein_coding","11",121128079,121146682,"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]",727.234526367806,773.793438834356,484.871327742552,514.026743783948,493.659871484954,320.934857084538,584.167743677066,400.636551856857,579.635686096849
"ENSMUSG00000000058","12390","Cav2","protein_coding","6",17281184,17289114,"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]",1891.59596804426,1581.65325547903,1795.26382586778,2132.38191131018,1852.01060066648,1955.32533297802,2191.82610383752,2120.63321422604,1689.24979546293
"ENSMUSG00000000078","23849","Klf6","protein_coding","13",5911481,5920393,"Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]",3754.10255503381,3399.82450546969,4112.59637608824,5355.82704007145,4625.31000607878,5192.01279905653,4114.31257175835,4889.85394074151,4047.51835011242
"ENSMUSG00000000085","29871","Scmh1","protein_coding","4",120262478,120387383,"sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]",822.364664411595,906.165649754447,919.493540766159,959.516588396702,1165.49846516193,1082.85798075561,866.67509512745,873.048381733672,909.179339407362
"ENSMUSG00000000088","12858","Cox5a","protein_coding","9",57428557,57439709,"cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]",1327.10473568525,1598.19978184404,1559.68031400363,1433.74771330705,1474.69095367162,1601.1083425662,1223.40047958599,1562.09105072527,1487.91216618007
"ENSMUSG00000000127","14158","Fer","protein_coding","17",64170057,64446491,"FER tyrosine kinase [Source:MGI Symbol;Acc:MGI:105917]",871.895232153403,1000.57818254304,1103.52276610048,1136.38600561268,859.45030704387,1084.04662837444,952.863778620788,960.48372041253,934.459400483237
"ENSMUSG00000000131","74204","Xpo6","protein_coding","7",125700887,125799673,"exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]",2147.11080163295,2278.5540129701,2720.63063978291,2728.21076055652,2903.26506159941,3071.46544706092,2701.77581450643,2971.49651002627,2630.02921121514
"ENSMUSG00000000134","209446","Tfe3","protein_coding","X",7628799,7641441,"transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]",1387.64209625857,1211.78972496701,1288.20457734024,1408.32273458226,1403.41946479481,1376.45394260702,1448.44870870748,1308.92007007305,1470.75783902144
"ENSMUSG00000000142","12006","Axin2","protein_coding","11",108811175,108841609,"axin 2 [Source:MGI Symbol;Acc:MGI:1270862]",120.288521658675,127.505585518617,112.897361641267,28.7412802975971,38.7800748300283,27.3388952331273,29.9266262129645,19.5750758236249,34.308654317259
"ENSMUSG00000000148","231841","Brat1","protein_coding","5",140690766,140705134,"BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]",552.698240039533,647.261178396034,603.641962532787,553.822362657544,567.027580622846,557.475733232031,574.591223288917,491.98690570044,700.618835531393
"ENSMUSG00000000149","14673","Gna12","protein_coding","5",140744163,140816186,"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]",2103.0836303069,2361.28664479516,2285.35584085386,1865.97235162861,1785.97966244238,1943.4388567897,1818.34180869972,1699.11658149065,1833.70728732508
"ENSMUSG00000000159","72058","Igsf5","protein_coding","16",96162868,96223321,"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]",0,0,0,2.21086771519977,10.481101305413,8.32053333182136,25.1383660188901,14.3550556039916,53.2687001241652
"ENSMUSG00000000167","72614","Pih1d2","protein_coding","9",50528621,50536300,"PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]",25.1583836148863,33.0930527300228,30.0189516502791,40.9010527311958,31.4433039162391,27.3388952331273,59.8532524259289,43.0651668119749,49.6572628276116
"ENSMUSG00000000168","235339","Dlat","protein_coding","9",50545933,50571080,"dihydrolipoamide S-acetyltransferase [Source:MGI Symbol;Acc:MGI:2385311]",1796.46583000047,1831.79780111479,2175.7214087398,1668.09969111823,1931.66697058762,2027.83283772675,1522.66674171563,1846.58215269529,2002.54198093896
"ENSMUSG00000000171","66925","Sdhd","protein_coding","9",50507657,50515112,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]",3468.71214090245,3708.36855592314,3549.41473969279,3303.03636650846,3500.68783600796,3544.5471993559,3315.87018439646,3832.79984626576,3041.73306302225
"ENSMUSG00000000184","12444","Ccnd2","protein_coding","6",127102125,127129156,"cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]",2463.16299579496,3560.42314371833,4434.32122747058,4242.65514546837,5121.06609782481,5139.71230382794,2894.50328731792,3590.06890605281,2615.58346202893
"ENSMUSG00000000194","277463","Gpr107","protein_coding","2",31042328,31108787,"G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]",890.764019864567,1061.89766260161,1026.51762925846,951.778551393503,977.886751795037,1019.85965695753,1158.75896696598,1055.74908942084,1319.07747256619
"ENSMUSG00000000223","13497","Drp2","protein_coding","X",133305300,133357322,"dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]",20.4411866870951,18.493176525601,10.4413744870536,24.3195448671975,15.7216519581196,15.4524190448111,32.3207563100016,30.0151162628916,26.1829204000134
"ENSMUSG00000000253","66355","Gmpr","protein_coding","13",45660920,45707276,"guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]",348.286373168582,416.583134366169,315.198992327931,96.1727456111902,70.2233787462674,57.0550857039179,183.150952423342,122.670475161383,209.463363200107
"ENSMUSG00000000266","23947","Mid2","protein_coding","X",139565348,139668464,"midline 2 [Source:MGI Symbol;Acc:MGI:1344333]",373.444756783468,380.570106395262,334.123983585716,402.377924166359,463.264677699257,421.969904685226,254.974855334457,317.116228342724,203.143347931139
"ENSMUSG00000000275","217069","Trim25","protein_coding","11",88890202,88911119,"tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]",3419.18157316064,4024.69920701895,3929.21973665936,3548.44268289564,2594.07257308973,2868.20670424071,4114.31257175835,3252.07259683156,2838.58971509111
"ENSMUSG00000000276","56077","Dgke","protein_coding","11",88926005,88957676,"diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]",408.823733741902,270.584372321951,283.87486886677,229.930242380777,151.975968928489,192.560914250723,353.13418931298,246.645955377674,247.38345481392
"ENSMUSG00000000278","74617","Scpep1","protein_coding","11",88814846,88846291,"serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]",4111.03712257001,4920.15828089015,3679.93192078096,4154.22043686038,4348.60893161587,4458.61721823742,4004.18258729464,4088.5808370278,4808.62876036108
"ENSMUSG00000000282","17428","Mnt","protein_coding","11",74721746,74736551,"max binding protein [Source:MGI Symbol;Acc:MGI:109150]",1358.55271520386,722.207209578733,934.503016591299,878.81991679191,498.900422137661,511.118476097598,1222.20341453747,643.367492069806,855.007779959059
"ENSMUSG00000000295","69692","Hddc2","protein_coding","10",31189379,31204200,"HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]",393.885943470563,398.089957840568,378.499825155694,648.889674411134,555.498369186891,608.587580841791,634.444475714846,711.22775492504,423.441023020907
"ENSMUSG00000000296","21987","Tpd52l1","protein_coding","10",31208372,31321954,"tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]",8.64819436761716,3.89330032117915,4.56810133808596,44.2173543039955,16.7697620886609,33.2821333272855,61.0503174744475,31.3201213177999,48.7544035034732
"ENSMUSG00000000301","18618","Pemt","protein_coding","11",59861440,59937315,"phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]",147.805503737457,223.864768467801,225.794723282534,93.9618778959904,132.061876448204,154.524190448111,101.750529124079,126.585490326108,124.594586731098
"ENSMUSG00000000317","12029","Bcl6b","protein_coding","11",70114954,70120624,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]",2971.83406450844,2401.19297308724,2359.09804816868,910.877498662307,952.732108662046,887.919771267223,784.077606779669,635.537461740356,805.350517131447
"ENSMUSG00000000326","12846","Comt","protein_coding","16",18225636,18245602,"catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]",1640.0121318954,1848.3443274798,2311.45927707149,2475.06640716615,2543.76328682375,2678.02308522765,1452.03990385303,1984.91268851557,1802.10721098023
"ENSMUSG00000000339","66368","Rtca","protein_coding","3",116282612,116301857,"RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]",1460.75864863933,1622.53290885141,1977.33529348578,1546.50196678224,1783.8834421813,1769.89630444029,1300.01264269118,1431.59054523444,1466.24354240075
"ENSMUSG00000000340","13171","Dbt","protein_coding","3",116306719,116343630,"dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]",1225.68500173774,1260.45597898175,1314.96059946331,1222.60984650548,1396.08269388102,1268.28700929334,1151.57657667487,1192.77462018621,1268.51735041444
"ENSMUSG00000000346","23994","Dazap2","protein_coding","15",100513230,100518642,"DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]",2407.34283214943,2473.21902902906,2035.41543907001,1891.39733035341,1752.44013826506,1649.84289493829,1809.96235336009,1594.71617709798,2092.8279133528
"ENSMUSG00000000355","68995","Mcts1","protein_coding","X",37689455,37702303,"malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]",392.313544494633,415.609809285874,426.791182158317,573.720172094341,532.439946314983,552.721142756705,538.67927183336,529.832052292782,325.029356689822
"ENSMUSG00000000374","216131","Trappc10","protein_coding","10",78022559,78080475,"trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]",1165.93384065239,1296.46900695266,1307.12956859802,1049.05673086229,1246.20294521361,1177.94979026214,1101.29984463709,1024.42896810304,1085.23690761435
"ENSMUSG00000000378","216527","Ccm2","protein_coding","11",6496887,6546744,"cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]",1346.75972288438,1851.26430272069,2215.52914897169,1157.38924890708,1480.97961445486,1454.90468544991,1143.19712133524,1303.70004985342,1728.97560572502
"ENSMUSG00000000384","21379","Tbrg4","protein_coding","11",6565598,6576067,"transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]",2607.82370158056,3141.89335919158,3647.95521141436,1909.08427207501,2451.52959533611,2565.10156143864,2135.56404655714,2465.15454872183,2587.59482298064
"ENSMUSG00000000399","66108","Ndufa9","protein_coding","6",126798684,126826099,"NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]",1562.96458207481,1764.63837057445,1707.16472863327,1450.32922117105,1557.49165398438,1545.24190448111,1601.67303491786,1855.71718807964,1720.84987180778
"ENSMUSG00000000409","16818","Lck","protein_coding","4",129442137,129467434,"lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]",25.1583836148863,27.2531022482541,18.9249912577847,38.6901850159961,17.8178722192022,32.0934857084538,61.0503174744475,35.2351364825249,42.4343882345045
"ENSMUSG00000000420","14423","Galnt1","protein_coding","18",24338401,24419875,"polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]",2702.16764013638,3564.31644403951,3484.80873505414,3532.96660888924,4390.53333683752,4233.96281827824,3239.25802129127,3954.16531637224,3724.29471207087
"ENSMUSG00000000439","67027","Mkrn2","protein_coding","6",115578863,115599585,"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]",433.982117356788,483.74256490651,493.354944513283,476.441992625551,464.312787829798,498.04335229045,483.614279601505,476.32684504154,519.144111379576
"ENSMUSG00000000441","110157","Raf1","protein_coding","6",115595028,115653596,"v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]",1062.15550824098,1102.77731597399,1213.80978411998,1140.80774104308,1452.68064093025,1395.47230450833,1090.52625920042,1166.67451908805,1198.09432313165
"ENSMUSG00000000486","54204, 100043580","Septin1","protein_coding","7",126813619,126832302,"septin 1 [Source:MGI Symbol;Acc:MGI:1858916]",55.8201636455289,56.4528546570977,56.774973773354,68.536899171193,47.1649558743587,39.2253714214436,53.867927183336,43.0651668119749,46.0458255310581
"ENSMUSG00000000489","18591","Pdgfb","protein_coding","15",79880075,79899178,"platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]",10.2205933435476,11.6799009635375,15.6620617305804,3.31630157279966,4.19244052216522,3.56594285649487,3.59119514555573,3.91501516472499,9.02859324138393
"ENSMUSG00000000531","56149","Tamalin","protein_coding","15",101122069,101130637,"trafficking regulator and scaffold protein tamalin [Source:MGI Symbol;Acc:MGI:1860303]",143.088306809666,121.665635036848,110.939603924945,118.281422763188,132.061876448204,130.751238071479,102.947594172598,90.0453487886747,143.554632538005
"ENSMUSG00000000532","11479","Acvr1b","protein_coding","15",101071948,101111565,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]",286.962813107297,272.531022482541,223.836965566212,256.460654963174,220.103127413674,209.201980914366,213.077578636307,170.955662192991,167.028974965603
"ENSMUSG00000000538","216810","Tom1l2","protein_coding","11",60117540,60243731,"target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]",1200.52661812285,1011.28475842628,1070.240884923,792.596075899119,765.120395295152,767.866361765229,1101.29984463709,910.893528326014,1202.60861975234
"ENSMUSG00000000552","29813","Zfp385a","protein_coding","15",103222322,103248520,"zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]",544.836245159881,479.84926458533,541.646301515906,253.144353390374,195.996594411224,219.89980948385,360.316579604092,186.615722851891,316.903622772576
"ENSMUSG00000000555","16402","Itga5","protein_coding","15",103252713,103275190,"integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]",5447.57625211084,6614.71724568338,8757.70285101622,5320.45315662826,6017.20025943763,7103.35817013778,4843.32518630617,5588.03164511747,5193.24683244404
"ENSMUSG00000000561","70465","Wdr77","protein_coding","3",105866685,105877353,"WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]",1533.8752010201,1799.67807346506,2471.99540980994,1928.9820815118,2457.81825611936,2704.17333284194,1458.02522909563,2090.61809796314,1821.06725678714
"ENSMUSG00000000563","11950","Atp5pb","protein_coding","3",105850014,105867415,"ATP synthase peripheral stalk-membrane subunit b [Source:MGI Symbol;Acc:MGI:1100495]",10907.7316960291,11211.7315999157,11663.0153020389,11744.1293031412,12127.6823204934,12579.4577500951,9960.77826872309,12163.9521168005,9354.5254573979
"ENSMUSG00000000567","20682","Sox9","protein_coding","11",112673050,112678586,"SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]",3101.5569800227,2928.73516660702,2973.18138518852,1405.00643300946,1395.03458375048,1293.24860928881,1605.26423006341,1637.78134390995,2435.91445652539
"ENSMUSG00000000568","11991","Hnrnpd","protein_coding","5",100103794,100126797,"heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]",3096.83978309491,2763.2699029569,3171.56750044254,4006.09229994199,4701.82204560829,4464.56045633158,4396.81992320874,4065.09074603945,4977.46345397496
"ENSMUSG00000000579","100040563","Dynlt1c","protein_coding","17",6869070,6877173,"dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]",38.5237749102946,24.3331270073697,13.7043040142579,25.4249787247974,14.6735418275783,17.8297142824744,22.744235921853,23.4900909883499,18.9600458069063
"ENSMUSG00000000581","57316","C1d","protein_coding","11",17207579,17219176,"C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]",917.494802455384,864.312671301772,886.864245494117,683.15812399673,665.549932893728,734.584228437943,768.515761148927,840.423255360964,691.590242290009
"ENSMUSG00000000594","14667","Gm2a","protein_coding","11",54988941,55003855,"GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]",75.4751508446588,64.239455299456,40.4603261373328,163.604210924783,73.3677091378913,115.298819026667,345.951799021869,186.615722851891,353.92085506225
"ENSMUSG00000000600","79264","Krit1","protein_coding","5",3853184,3895564,"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]",614.807999588783,509.049016994174,552.08767600296,535.029987078345,581.701122450424,597.889752272307,726.618484450777,636.842466795265,669.921618510688
"ENSMUSG00000000605","12727","Clcn4","protein_coding","7",7285308,7303850,"chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]",728.806925343737,748.486986746692,803.985835503129,749.484155452724,768.264725686776,740.527466532101,817.595428138189,771.257987450823,735.830349172791
"ENSMUSG00000000628","15277","Hk2","protein_coding","6",82702006,82751435,"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]",1526.79940562841,1962.22336187429,2124.81970811541,2261.71767264937,2665.34406196654,2679.21173284648,2372.58292616382,2407.73432630587,2374.52002248397
"ENSMUSG00000000631","360013","Myo18a","protein_coding","11",77654072,77756806,"myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]",1823.98281207926,2084.86232199144,1793.30606815146,1038.00239228629,1157.1135841176,1193.40220930695,1885.37745141676,1427.67553006971,1710.91841924226
"ENSMUSG00000000686","67477","Abhd15","protein_coding","11",77405947,77429433,"abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]",18.0825882231995,18.493176525601,24.1456785013115,29.846714155197,16.7697620886609,21.3956571389692,5.98532524259289,20.8800808785333,11.7371712137991
"ENSMUSG00000000693","16950","Loxl3","protein_coding","6",83011154,83029543,"lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]",1617.99854623237,2190.95475574357,2175.7214087398,1233.66418508147,1186.46066777276,1259.96647596152,1255.72123589599,950.043679973264,944.39085304876
"ENSMUSG00000000706","12231","Btn1a1","protein_coding","13",23641162,23650071,"butyrophilin, subfamily 1, member A1 [Source:MGI Symbol;Acc:MGI:103118]",6.28959590372157,13.626551124127,7.83103086529021,17.6869417215982,16.7697620886609,23.7729523766325,4.78826019407431,22.1850859334416,20.765764455183
"ENSMUSG00000000708","18519","Kat2b","protein_coding","17",53873889,53979748,"K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]",519.677861544995,658.941079359571,526.636825690767,607.988621679938,620.481197280452,595.512457034643,616.488499987068,529.832052292782,579.635686096849
"ENSMUSG00000000711","19344","Rab5b","protein_coding","10",128513044,128532133,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]",1726.49407557157,1657.57261174202,1421.98468795561,2057.21240899339,1812.18241570592,1667.67260922077,1768.06507666194,1753.92679379679,1422.00343551797
