"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","chromosome_name","start_position","end_position","gene_biotype","description"
"ENSMUSG00000063011",390.959574750687,4.52024075700262,0.228643043334874,3.04731075329684e-88,4.75471896836906e-84,"56047","Msln","17",25967587,25973352,"protein_coding","mesothelin [Source:MGI Symbol;Acc:MGI:1888992]"
"ENSMUSG00000022865",578.291640636293,4.48952472855938,0.274065900913368,1.10734835379612e-61,8.63897818214041e-58,"13052","Cxadr","16",78098377,78156662,"protein_coding","coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"ENSMUSG00000020524",2366.93070259522,-3.11462874995844,0.192821048341926,5.08075715361662e-60,2.642501795596e-56,"14799","Gria1","11",56902213,57221070,"protein_coding","glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]"
"ENSMUSG00000046572",282.561669629953,-5.90516022269635,0.3637570026296,7.5086075729839e-60,2.92892009903169e-56,"100515","Zfp518b","5",38825827,38842169,"protein_coding","zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]"
"ENSMUSG00000000753",3861.21329462112,-3.25448287858931,0.212707327058479,4.34802247850452e-54,1.35684389464212e-50,"20317","Serpinf1","11",75300595,75313527,"protein_coding","serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000022206",300.113958356388,3.00550773469543,0.203235560878251,1.43073374505569e-50,3.72062310401731e-47,"18162","Npr3","15",11839982,11907373,"protein_coding","natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"ENSMUSG00000029673",218.605136893202,-4.37199936390909,0.3057257214715,1.71976903723018e-47,3.83336518398607e-44,"319974","Auts2","5",131466171,132572183,"protein_coding","autism susceptibility candidate 2 [Source:MGI Symbol;Acc:MGI:1919847]"
"ENSMUSG00000036782",202.051327049109,-4.22427350020364,0.309623747082506,1.85711744881421e-43,3.62207544423101e-40,"67455","Klhl13","X",23085510,23231321,"protein_coding","kelch-like 13 [Source:MGI Symbol;Acc:MGI:1914705]"
"ENSMUSG00000032826",629.615491975279,-2.65040638830643,0.195240932111025,2.48920946471198e-43,4.31545947532233e-40,"109676","Ank2","3",126715261,127292999,"protein_coding","ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]"
"ENSMUSG00000062393",174.6344790926,-4.74348942871653,0.348782000980528,4.36903930131769e-43,6.817012021846e-40,"331374","Dgkk","X",6690410,6814602,"protein_coding","diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]"
"ENSMUSG00000043518",167.718722147388,-4.82009760600479,0.359578034760333,4.60829688779427e-42,6.53665966729582e-39,"24004","Rai2","X",160500065,160562492,"protein_coding","retinoic acid induced 2 [Source:MGI Symbol;Acc:MGI:1344378]"
"ENSMUSG00000026915",278.9680085224,3.28673594595654,0.247485136620153,1.70803995526617e-41,2.22087895183483e-38,"20744","Strbp","2",37373240,37593871,"protein_coding","spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]"
"ENSMUSG00000033350",172.53988160447,-3.8003549418842,0.289279623083321,1.19144033632103e-40,1.43000335135516e-37,"54371","Chst2","9",95281345,95288775,"protein_coding","carbohydrate sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1891160]"
"ENSMUSG00000030218",4279.86077552295,-2.78313362111285,0.214796406288345,1.13547835525974e-39,1.26549062693698e-36,"17313","Mgp","6",136849433,136852821,"protein_coding","matrix Gla protein [Source:MGI Symbol;Acc:MGI:96976]"
"ENSMUSG00000046318",188.486620157031,3.15819080737251,0.247700571150815,2.09216325938422e-38,2.17626822241146e-35,"320924","Ccbe1","18",66178373,66435812,"protein_coding","collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053]"
"ENSMUSG00000072941",230.53034424076,4.07611081158989,0.328543098245483,1.3481023629874e-36,1.31465257310577e-33,"20657","Sod3","5",52521133,52528760,"protein_coding","superoxide dismutase 3, extracellular [Source:MGI Symbol;Acc:MGI:103181]"
"ENSMUSG00000028108",1612.75740004781,-1.98741317703193,0.162718672552141,1.58236607957594e-35,1.45233281997785e-32,"13601","Ecm1","3",95641459,95646881,"protein_coding","extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060]"
"ENSMUSG00000029851",172.324876328039,3.89075534391658,0.321340423935815,7.63665747808715e-35,6.61970925725521e-32,"232748","Tcaf2","6",42599950,42622188,"protein_coding","TRPM8 channel-associated factor 2 [Source:MGI Symbol;Acc:MGI:2385258]"
"ENSMUSG00000031239",163.096661878666,-5.76809509282577,0.488739679051323,4.29874494033065e-33,3.53017459494627e-30,"16431","Itm2a","X",106440705,106446982,"protein_coding","integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]"
"ENSMUSG00000059921",168.26486692955,-3.94367394801571,0.337509724555353,1.9373718262825e-32,1.5114406302743e-29,"22253","Unc5c","3",141170977,141540685,"protein_coding","unc-5 netrin receptor C [Source:MGI Symbol;Acc:MGI:1095412]"
"ENSMUSG00000039470",114.592240161207,3.55874395362334,0.318723086572889,1.98767740528561e-30,1.47684431212721e-27,"70546","Zdhhc2","8",40876856,40963309,"protein_coding","zinc finger, DHHC domain containing 2 [Source:MGI Symbol;Acc:MGI:1923452]"
"ENSMUSG00000026832",846.155899807861,-2.04076918634072,0.187926873808952,9.77546599751263e-29,6.93302708905407e-26,"227929","Cytip","2",58019149,58085544,"protein_coding","cytohesin 1 interacting protein [Source:MGI Symbol;Acc:MGI:2183535]"
"ENSMUSG00000028517",638.282659709173,-2.26105443976553,0.208443466460559,1.21450691783956e-28,8.23910932132639e-26,"67916","Plpp3","4",105014544,105089961,"protein_coding","phospholipid phosphatase 3 [Source:MGI Symbol;Acc:MGI:1915166]"
"ENSMUSG00000120741",109.094530764733,6.69274543674557,0.608336685847544,3.28588462875034e-28,2.13623574426631e-25,"102636155","Gm33302","9",97157747,97176521,"lncRNA","predicted gene, 33302 [Source:MGI Symbol;Acc:MGI:5592461]"
"ENSMUSG00000063564",146.857545595549,-3.01483991174171,0.28051315615908,3.69713172981342e-28,2.30745385521115e-25,"237759","Col23a1","11",51180747,51474745,"protein_coding","collagen, type XXIII, alpha 1 [Source:MGI Symbol;Acc:MGI:2653243]"
"ENSMUSG00000022995",859.327195544891,6.52511467666748,0.606962257768549,4.02339734170481e-28,2.4145026431777e-25,"13800","Enah","1",181723949,181847555,"protein_coding","ENAH actin regulator [Source:MGI Symbol;Acc:MGI:108360]"
"ENSMUSG00000021214",1475.6400606143,2.14445700653467,0.201731104297194,1.21017611830428e-27,6.99347332366731e-25,"105349","Akr1c18","13",4182614,4200653,"protein_coding","aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"ENSMUSG00000000317",1754.2348100423,-1.76727398430669,0.167152457350269,2.56862870461186e-27,1.38201081648479e-24,"12029","Bcl6b","11",70114954,70120624,"protein_coding","B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
"ENSMUSG00000028565",112.807509001725,4.30758283319584,0.405781447998868,2.49666932604737e-27,1.38201081648479e-24,"18027","Nfia","4",97660971,98007111,"protein_coding","nuclear factor I/A [Source:MGI Symbol;Acc:MGI:108056]"
"ENSMUSG00000025026",112.678503452168,3.25398187275489,0.31228309339433,1.36420631598549e-26,7.09523704944054e-24,"27360","Add3","19",53128874,53235830,"protein_coding","adducin 3 [Source:MGI Symbol;Acc:MGI:1351615]"
"ENSMUSG00000016552",150.736239112908,-7.12490273979346,0.665195467156398,1.60914188678314e-26,8.09917447079912e-24,"239554","Foxred2","15",77824722,77840922,"protein_coding","FAD-dependent oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:106315]"
"ENSMUSG00000040964",156.262990209532,-2.75640988006197,0.265748898389424,1.71689477954983e-26,8.37147163916124e-24,"72754","Arhgef10l","4",140241796,140393323,"protein_coding","Rho guanine nucleotide exchange factor 10-like [Source:MGI Symbol;Acc:MGI:1920004]"
"ENSMUSG00000026768",304.851244055787,-3.04375551736528,0.2961243928711,3.30878043607351e-26,1.56445154981985e-23,"241226","Itga8","2",12111443,12306733,"protein_coding","integrin alpha 8 [Source:MGI Symbol;Acc:MGI:109442]"
"ENSMUSG00000022747",227.531189796215,2.85291695748711,0.277142030395745,4.1354437156135e-26,1.89780377337404e-23,"54613","St3gal6","16",58288488,58344606,"protein_coding","ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:1888707]"
"ENSMUSG00000020186",2842.36759876509,-1.43036698255824,0.140013255568455,1.15185292303028e-25,5.13496033086897e-23,"13008","Csrp2","10",110755650,110775483,"protein_coding","cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]"
"ENSMUSG00000007888",4633.3616913639,-2.30579163194248,0.229275096811189,4.76705199643045e-25,2.06611978611956e-22,"12931","Crlf1","8",70945808,70956731,"protein_coding","cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]"
"ENSMUSG00000021678",291.956694664967,2.28590350045311,0.228254554913588,8.71628802018261e-25,3.6756822156462e-22,"14063","F2rl1","13",95648240,95661735,"protein_coding","F2R like trypsin receptor 1 [Source:MGI Symbol;Acc:MGI:101910]"
"ENSMUSG00000067219",288.000402539309,2.18936574412658,0.222035802584962,4.34361842594296e-24,1.78351258684179e-21,"70701","Nipal1","5",72805138,72828421,"protein_coding","NIPA-like domain containing 1 [Source:MGI Symbol;Acc:MGI:1917951]"
"ENSMUSG00000024140",88.151007667161,-4.97841726849091,0.501441014651569,6.29695080594555e-24,2.51926470320945e-21,"13819","Epas1","17",87061128,87140838,"protein_coding","endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169]"
