"ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","baseMean","dispersion_gene_estimate","dispersion_fit","dispersion_final","chromosome_name","start_position","end_position","description"
"ENSMUSG00000000001","14679","Gnai3","protein_coding",6057.96395990155,0.00403375543310386,0.0163721358146364,0.00800878090987704,"3",108014596,108053462,"G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]"
"ENSMUSG00000000028","12544","Cdc45","protein_coding",980.8743817796,0.0181116945918229,0.0192596224582731,0.0185820599063149,"16",18599197,18630737,"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"
"ENSMUSG00000000031","14955","H19","lncRNA",155.258129785579,0.150887315617675,0.0375808988406223,0.0902951781456262,"7",142129262,142133957,"H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]"
"ENSMUSG00000000037","107815","Scml2","protein_coding",18.6069799616566,0.189254737626681,0.197436657227072,0.19412667777722,"X",159865521,160041209,"Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]"
"ENSMUSG00000000056","67608","Narf","protein_coding",542.10674965877,0.0537463749366635,0.0220481928439982,0.0383772063491669,"11",121128079,121146682,"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"ENSMUSG00000000058","12390","Cav2","protein_coding",1912.21555643025,0.00980156400328095,0.0175815766977537,0.0131798125729504,"6",17281184,17289114,"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
"ENSMUSG00000000078","23849","Klf6","protein_coding",4387.92868271231,0.00843077722586729,0.0165844527489527,0.0113909314277088,"13",5911481,5920393,"Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"ENSMUSG00000000085","29871","Scmh1","protein_coding",944.977745057214,0.0037122425916137,0.0193904996665748,0.00926461809124895,"4",120262478,120387383,"sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"
"ENSMUSG00000000088","12858","Cox5a","protein_coding",1474.2150597299,0.009070138836665,0.0181066526732206,0.0125009031859213,"9",57428557,57439709,"cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"
"ENSMUSG00000000127","14158","Fer","protein_coding",989.298446816053,0.0110582418981074,0.019230284747201,0.0142533521778691,"17",64170057,64446491,"FER tyrosine kinase [Source:MGI Symbol;Acc:MGI:105917]"
"ENSMUSG00000000131","74204","Xpo6","protein_coding",2683.61536215007,0.0073173895121729,0.0170735720986337,0.0108434675893682,"7",125700887,125799673,"exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]"
"ENSMUSG00000000134","209446","Tfe3","protein_coding",1367.10657315021,0.00214113628330179,0.0182862524957889,0.00750219674385486,"X",7628799,7641441,"transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]"
"ENSMUSG00000000142","12006","Axin2","protein_coding",59.9291195036845,1e-08,0.0722049652438802,0.0412132779219368,"11",108811175,108841609,"axin 2 [Source:MGI Symbol;Acc:MGI:1270862]"
"ENSMUSG00000000148","231841","Brat1","protein_coding",583.236002444614,0.0107885084749419,0.0216085834993172,0.0151887944850585,"5",140690766,140705134,"BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]"
"ENSMUSG00000000149","14673","Gna12","protein_coding",1966.25362937023,0.00188259273916369,0.0175330066305744,0.00679472207638884,"5",140744163,140816186,"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]"
"ENSMUSG00000000159","72058","Igsf5","protein_coding",12.6416248999424,0.402103304406684,0.283140983191951,0.324763062982731,"16",96162868,96223321,"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]"
"ENSMUSG00000000167","72614","Pih1d2","protein_coding",37.8365913268073,1e-08,0.105131100027382,0.0539782712365162,"9",50528621,50536300,"PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]"
"ENSMUSG00000000168","235339","Dlat","protein_coding",1867.0417127375,0.0130527987075495,0.01762433706359,0.0148586048494286,"9",50545933,50571080,"dihydrolipoamide S-acetyltransferase [Source:MGI Symbol;Acc:MGI:2385311]"
