"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","chromosome_name","start_position","end_position","gene_biotype","description"
"ENSMUSG00000022865",690.717659024306,4.78227258453493,0.178823048010405,3.14216976159597e-159,5.22951313422417e-155,"13052","Cxadr","16",78098377,78156662,"protein_coding","coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"ENSMUSG00000063011",452.228546876057,4.74743239667452,0.189688840575192,2.27748249852821e-139,1.89520706115025e-135,"56047","Msln","17",25967587,25973352,"protein_coding","mesothelin [Source:MGI Symbol;Acc:MGI:1888992]"
"ENSMUSG00000007888",4418.5465865125,-2.8205568956886,0.163350047899143,4.92102408088121e-68,2.73002012593686e-64,"12931","Crlf1","8",70945808,70956731,"protein_coding","cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]"
"ENSMUSG00000000753",3722.64597617475,-3.97704837432823,0.233071359988215,1.38449762949288e-66,5.76054851191251e-63,"20317","Serpinf1","11",75300595,75313527,"protein_coding","serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000026915",262.190950399765,3.19841224564592,0.194121212006717,2.97208769379971e-62,9.8928910975817e-59,"20744","Strbp","2",37373240,37593871,"protein_coding","spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]"
"ENSMUSG00000009614",288.631088437435,-4.01319018360855,0.252657205146457,5.7435593694768e-58,1.59316764310337e-54,"192166","Sardh","2",27078405,27138349,"protein_coding","sarcosine dehydrogenase [Source:MGI Symbol;Acc:MGI:2183102]"
"ENSMUSG00000024053",1863.56332488168,-2.62470718032381,0.180906825965616,5.84722742492757e-49,1.39022008618671e-45,"246707","Emilin2","17",71559167,71618973,"protein_coding","elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]"
"ENSMUSG00000046618",482.128145393531,-3.53820833919915,0.248152612673336,2.21219788455746e-47,4.60220117408622e-44,"241327","Olfml2a","2",38821990,38853765,"protein_coding","olfactomedin-like 2A [Source:MGI Symbol;Acc:MGI:2444741]"
"ENSMUSG00000046318",302.874581761404,3.89828906536925,0.280234261728996,3.4854555299003e-45,6.44538182045897e-42,"320924","Ccbe1","18",66178373,66435812,"protein_coding","collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053]"
"ENSMUSG00000022103",179.953176137762,-3.5628776374063,0.258066058890988,1.95971588572572e-44,3.26155514861332e-41,"14586","Gfra2","14",71127560,71217278,"protein_coding","glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]"
"ENSMUSG00000039470",172.696743944204,4.21240098687057,0.309041596525227,1.11129742344635e-43,1.68139300167433e-40,"70546","Zdhhc2","8",40876856,40963309,"protein_coding","zinc finger, DHHC domain containing 2 [Source:MGI Symbol;Acc:MGI:1923452]"
"ENSMUSG00000021728",795.262272520632,-1.66032079006237,0.126330965205833,1.27796696138592e-40,1.77243367819548e-37,"13723","Emb","13",117345072,117410951,"protein_coding","embigin [Source:MGI Symbol;Acc:MGI:95321]"
"ENSMUSG00000020186",2913.01633547871,-1.31856314493212,0.100625536460703,2.98694051505141e-40,3.82397315323082e-37,"13008","Csrp2","10",110755650,110775483,"protein_coding","cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]"
"ENSMUSG00000020524",2432.67544323172,-2.76522156659907,0.214105048480832,1.94176792785931e-39,2.30834597309732e-36,"14799","Gria1","11",56902213,57221070,"protein_coding","glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]"
"ENSMUSG00000027254",716.314282452119,-3.10928533086195,0.244319497655437,2.31339741285664e-38,2.56679154281153e-35,"17754","Map1a","2",121120081,121141313,"protein_coding","microtubule-associated protein 1 A [Source:MGI Symbol;Acc:MGI:1306776]"
"ENSMUSG00000028583",6796.46530774277,1.30192762973926,0.102935730141315,1.05778622609244e-37,1.10029601005353e-34,"14726","Pdpn","4",142994001,143026134,"protein_coding","podoplanin [Source:MGI Symbol;Acc:MGI:103098]"
"ENSMUSG00000031709",96.6751384408846,5.35562338495337,0.424552008541427,6.65764565904885e-37,6.51783510020882e-34,"71310","Tbc1d9","8",83891981,83999563,"protein_coding","TBC1 domain family, member 9 [Source:MGI Symbol;Acc:MGI:1918560]"
"ENSMUSG00000031075",675.647963923894,2.31149275223248,0.186183921626231,1.15523441632156e-36,1.0119245468863e-33,"101772","Ano1","7",144142286,144305711,"protein_coding","anoctamin 1, calcium activated chloride channel [Source:MGI Symbol;Acc:MGI:2142149]"
"ENSMUSG00000062393",188.41291176631,-3.05563953120078,0.245617569213795,1.11096208652605e-36,1.0119245468863e-33,"331374","Dgkk","X",6690410,6814602,"protein_coding","diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]"
"ENSMUSG00000020467",3768.93603457943,-2.59748316306947,0.210197473093665,2.38274876103686e-36,1.98280438149682e-33,"216616","Efemp1","11",28803204,28876743,"protein_coding","epidermal growth factor-containing fibulin-like extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:1339998]"
"ENSMUSG00000120741",155.641560908437,7.22931557200453,0.575544885805711,7.89676019610878e-36,6.25837047351611e-33,"102636155","Gm33302","9",97157747,97176521,"lncRNA","predicted gene, 33302 [Source:MGI Symbol;Acc:MGI:5592461]"
"ENSMUSG00000032487",12703.079738466,2.04893001522824,0.167007016687707,1.02071129962783e-35,7.72168098168456e-33,"19225","Ptgs2","1",149975782,149983978,"protein_coding","prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]"
"ENSMUSG00000021245",301.806499291187,2.2153976768261,0.18359264457205,8.81634378220686e-35,6.37958302466386e-32,"217716","Mlh3","12",85281294,85317373,"protein_coding","mutL homolog 3 [Source:MGI Symbol;Acc:MGI:1353455]"
"ENSMUSG00000031239",166.838626864462,-4.57123387190972,0.380081993257767,2.39246515549494e-34,1.65907489928759e-31,"16431","Itm2a","X",106440705,106446982,"protein_coding","integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]"
"ENSMUSG00000046572",279.177014610124,-8.03860929494804,0.657348776826814,1.239431191455e-33,8.25114132775424e-31,"100515","Zfp518b","5",38825827,38842169,"protein_coding","zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]"
"ENSMUSG00000062184",271.174437754523,-7.99392556984379,0.674503612377528,7.94250616653384e-32,5.08412038960087e-29,"50786","Hs6st2","X",50476089,50770733,"protein_coding","heparan sulfate 6-O-sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1354959]"
"ENSMUSG00000032826",733.03483683406,-1.510383087114,0.13128156295311,8.9371694714989e-32,5.50893746348727e-29,"109676","Ank2","3",126715261,127292999,"protein_coding","ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]"
"ENSMUSG00000035385",1883.32672953987,-2.95835166659676,0.259245537464739,1.61183244563549e-31,9.58061692596836e-29,"20296","Ccl2","11",81926397,81928279,"protein_coding","C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259]"
"ENSMUSG00000040964",152.493047592186,-3.06267076847912,0.269783557385148,5.13768229580755e-31,2.9484981534181e-28,"72754","Arhgef10l","4",140241796,140393323,"protein_coding","Rho guanine nucleotide exchange factor 10-like [Source:MGI Symbol;Acc:MGI:1920004]"
"ENSMUSG00000025757",4309.30678885143,1.4908142622234,0.131364811864823,5.62498056276041e-31,3.12055171686738e-28,"18415","Hspa4l","3",40699814,40750538,"protein_coding","heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]"
"ENSMUSG00000022206",293.457888233628,2.95412081180095,0.262454439312327,1.41532762079698e-30,7.59848309449166e-28,"18162","Npr3","15",11839982,11907373,"protein_coding","natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"ENSMUSG00000029759",235.171376587655,-2.13380022894472,0.189706683125564,1.54252512342771e-30,8.02257675912728e-28,"269823","Pon3","6",5220852,5256286,"protein_coding","paraoxonase 3 [Source:MGI Symbol;Acc:MGI:106686]"
"ENSMUSG00000030022",521.914463054751,1.59518282738298,0.14219149964073,2.38586989003884e-30,1.19332438861374e-27,"101401","Adamts9","6",92749680,92920473,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:MGI Symbol;Acc:MGI:1916320]"
"ENSMUSG00000045095",600.273004972641,-1.49665579146591,0.133409417110177,2.43784349052858e-30,1.19332438861374e-27,"14924, 78178","Magi1","6",93652436,94260898,"protein_coding","membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:MGI Symbol;Acc:MGI:1203522]"
"ENSMUSG00000032452",418.297282482831,-3.44741128011735,0.308411259410004,2.7757681405655e-30,1.31991740466947e-27,"64085","Clstn2","9",97326448,97915234,"protein_coding","calsyntenin 2 [Source:MGI Symbol;Acc:MGI:1929897]"
"ENSMUSG00000021214",1607.04673457532,2.29298824093129,0.205724777217796,4.19661207504566e-30,1.94011707680513e-27,"105349","Akr1c18","13",4182614,4200653,"protein_coding","aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"ENSMUSG00000020427",187.189707331978,-7.19826427580388,0.62872988543642,4.41830730821383e-30,1.98740239271899e-27,"16009","Igfbp3","11",7156086,7163923,"protein_coding","insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438]"
"ENSMUSG00000044026",102.501501326096,6.61527741669976,0.585623791148131,2.01537581276333e-29,8.82681569784738e-27,"240660","Slc35g1","19",38384428,38394058,"protein_coding","solute carrier family 35, member G1 [Source:MGI Symbol;Acc:MGI:2444789]"
"ENSMUSG00000030562",340.833355603068,1.69643914025266,0.154037502464007,2.3853607158127e-29,9.97645542423026e-27,"50490","Nox4","7",86895304,87047918,"protein_coding","NADPH oxidase 4 [Source:MGI Symbol;Acc:MGI:1354184]"
"ENSMUSG00000090877",332.352623008224,-1.74484284438021,0.158501077383492,2.39775411265523e-29,9.97645542423026e-27,"15511","Hspa1b","17",35175412,35178214,"protein_coding","heat shock protein 1B [Source:MGI Symbol;Acc:MGI:99517]"
"ENSMUSG00000000317",1848.76207942731,-1.46941206267937,0.133563273350945,2.77446794350975e-29,1.12623097521543e-26,"12029","Bcl6b","11",70114954,70120624,"protein_coding","B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
"ENSMUSG00000029648",1016.44415136578,-1.7549181269376,0.161154046110116,8.43693675665944e-29,3.3432366295496e-26,"14254","Flt1","5",147498414,147662821,"protein_coding","FMS-like tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:95558]"
"ENSMUSG00000022951",826.910524531229,1.50072555344258,0.137713600183584,9.25027476658123e-29,3.58028658000492e-26,"54720","Rcan1","16",92188841,92267755,"protein_coding","regulator of calcineurin 1 [Source:MGI Symbol;Acc:MGI:1890564]"
"ENSMUSG00000000567",2309.78048264043,-1.12198175092656,0.1029700136966,1.12176050419781e-28,4.24305910712823e-26,"20682","Sox9","11",112673050,112678586,"protein_coding","SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]"
"ENSMUSG00000003526",102.857709547043,-4.37366998806326,0.408686938575859,1.19880105167744e-27,4.43369908957059e-25,"19125","Prodh","16",17878221,17908067,"protein_coding","proline dehydrogenase [Source:MGI Symbol;Acc:MGI:97770]"
"ENSMUSG00000050931",1175.98090319918,1.51799213007115,0.142731980404791,1.50596512438063e-27,5.44864729675365e-25,"74442","Sgms2","3",131112634,131197172,"protein_coding","sphingomyelin synthase 2 [Source:MGI Symbol;Acc:MGI:1921692]"
"ENSMUSG00000022272",3856.34267224005,-1.17655879223769,0.110852421019154,2.26619982814295e-27,8.02475824250704e-25,"17909","Myo10","15",25622611,25813759,"protein_coding","myosin X [Source:MGI Symbol;Acc:MGI:107716]"
"ENSMUSG00000025932",235.849392912408,2.49947329742348,0.236867794332058,2.43596960884541e-27,8.44621712500295e-25,"14048","Eya1","1",14239178,14380459,"protein_coding","EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]"
"ENSMUSG00000022747",242.000200859853,2.95402658901835,0.281260090888632,4.79582594313713e-27,1.62891696268635e-24,"54613","St3gal6","16",58288488,58344606,"protein_coding","ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:1888707]"
"ENSMUSG00000027171",452.7454305999,1.64493591811798,0.159177556594497,3.39585036561307e-26,1.13034275269796e-23,"228413","Prrg4","2",104661086,104680221,"protein_coding","proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane) [Source:MGI Symbol;Acc:MGI:2442211]"
"ENSMUSG00000025026",107.030356544069,3.17078812349853,0.30710835237415,3.73058278813832e-26,1.21741351652914e-23,"27360","Add3","19",53128874,53235830,"protein_coding","adducin 3 [Source:MGI Symbol;Acc:MGI:1351615]"
"ENSMUSG00000047139",318.733643836456,6.45745047311597,0.632525782353323,1.21916823187754e-25,3.90204170829575e-23,"12484","Cd24a","10",43454280,43460261,"protein_coding","CD24a antigen [Source:MGI Symbol;Acc:MGI:88323]"
"ENSMUSG00000036111",80.3176851312351,3.18915023974581,0.312811410415186,1.28600357055819e-25,4.03829385373584e-23,"109594","Lmo1","7",108737779,108774414,"protein_coding","LIM domain only 1 [Source:MGI Symbol;Acc:MGI:102812]"
"ENSMUSG00000064373",190.119896353455,-3.61167081755829,0.35516012393162,1.5039681256001e-25,4.63528546562269e-23,"20363","Selenop","15",3298029,3309990,"protein_coding","selenoprotein P [Source:MGI Symbol;Acc:MGI:894288]"
"ENSMUSG00000031253",65.0650933083035,4.18490525461376,0.41140137056549,2.17700670457987e-25,6.58762228805869e-23,"68792","Srpx2","X",132809175,132833195,"protein_coding","sushi-repeat-containing protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1916042]"
"ENSMUSG00000017969",207.272349306352,-2.78686931581872,0.279492828657999,1.21293428480754e-24,3.60479737536642e-22,"19223","Ptgis","2",167033725,167082524,"protein_coding","prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156]"
"ENSMUSG00000031561",1679.73254078128,-1.72988781077996,0.173759741986332,1.56030405281988e-24,4.55581409668094e-22,"23965","Tenm3","8",48680717,49296986,"protein_coding","teneurin transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1345183]"
"ENSMUSG00000059248",8736.82654777026,-1.35012459440762,0.136182520513838,2.74073251153935e-24,7.86448468785336e-22,"53860","Septin9","11",117090487,117253151,"protein_coding","septin 9 [Source:MGI Symbol;Acc:MGI:1858222]"
"ENSMUSG00000072941",104.240439340549,2.81809778626464,0.289045135109956,1.0659088143467e-23,3.00676616901222e-21,"20657","Sod3","5",52521133,52528760,"protein_coding","superoxide dismutase 3, extracellular [Source:MGI Symbol;Acc:MGI:103181]"
"ENSMUSG00000107881",132.624325418657,-2.45993516296218,0.25216589320744,1.12879540054189e-23,3.13109030853645e-21,"#N/A","Gm44250","6",5216258,5220486,"TEC","predicted gene, 44250 [Source:MGI Symbol;Acc:MGI:5690642]"
"ENSMUSG00000031965",67.7843000570843,6.00564319719154,0.601153465409814,1.7448398887621e-23,4.76055250306026e-21,"57246","Tbx20","9",24629434,24685599,"protein_coding","T-box 20 [Source:MGI Symbol;Acc:MGI:1888496]"
"ENSMUSG00000041797",71.9764164544135,-3.64202684828633,0.373255718528527,2.07305706387382e-23,5.56482076033097e-21,"217262","Abca9","11",109991575,110059022,"protein_coding","ATP-binding cassette, sub-family A member 9 [Source:MGI Symbol;Acc:MGI:2386796]"
