ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,gene_biotype,description,sample.WT_1,sample.WT_2,sample.WT_3,sample.pos.neg_1,sample.pos.neg_2,sample.pos.neg_3,sample.neg.neg_1,sample.neg.neg_2,sample.neg.neg_3
ENSMUSG00000000001,14679,Gnai3,3,108014596,108053462,protein_coding,G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773],7539,5885,10318,5613,6289,5791,4474,4449,5861
ENSMUSG00000000003,54192,Pbsn,X,76881507,76897229,protein_coding,probasin [Source:MGI Symbol;Acc:MGI:1860484],0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,12544,Cdc45,16,18599197,18630737,protein_coding,cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073],1214,1231,1314,883,1191,858,681,614,1060
ENSMUSG00000000031,14955,H19,7,142129262,142133957,lncRNA,"H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]",58,49,193,145,85,82,274,167,316
ENSMUSG00000000037,107815,Scml2,X,159865521,160041209,protein_coding,Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042],3,0,2,43,33,22,24,15,8
ENSMUSG00000000049,11818,Apoh,11,108234180,108305222,protein_coding,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058],4,6,8,0,1,7,1,0,6
ENSMUSG00000000056,67608,Narf,11,121128079,121146682,protein_coding,nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858],925,795,743,465,471,270,488,307,642
ENSMUSG00000000058,12390,Cav2,6,17281184,17289114,protein_coding,caveolin 2 [Source:MGI Symbol;Acc:MGI:107571],2406,1625,2751,1929,1767,1645,1831,1625,1871
ENSMUSG00000000078,23849,Klf6,13,5911481,5920393,protein_coding,Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318],4775,3493,6302,4845,4413,4368,3437,3747,4483
ENSMUSG00000000085,29871,Scmh1,4,120262478,120387383,protein_coding,sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762],1046,931,1409,868,1112,911,724,669,1007
ENSMUSG00000000088,12858,Cox5a,9,57428557,57439709,protein_coding,cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474],1688,1642,2390,1297,1407,1347,1022,1197,1648
ENSMUSG00000000093,21385,Tbx2,11,85723377,85732774,protein_coding,T-box 2 [Source:MGI Symbol;Acc:MGI:98494],7,7,2,0,0,0,3,1,2
ENSMUSG00000000094,21387,Tbx4,11,85777248,85806923,protein_coding,T-box 4 [Source:MGI Symbol;Acc:MGI:102556],0,1,0,0,0,0,0,0,0
ENSMUSG00000000103,22768,Zfy2,Y,2106015,2170409,protein_coding,"zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]",0,0,0,0,0,1,0,0,1
ENSMUSG00000000120,18053,Ngfr,11,95459644,95478561,protein_coding,"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]",3,0,1,0,0,0,0,0,0
ENSMUSG00000000125,22415,Wnt3,11,103664976,103708783,protein_coding,"wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]",0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,216795,Wnt9a,11,59197754,59224378,protein_coding,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]",3,1,0,3,5,1,7,3,7
ENSMUSG00000000127,14158,Fer,17,64170057,64446491,protein_coding,FER tyrosine kinase [Source:MGI Symbol;Acc:MGI:105917],1109,1028,1691,1028,820,912,796,736,1035
ENSMUSG00000000131,74204,Xpo6,7,125700887,125799673,protein_coding,exportin 6 [Source:MGI Symbol;Acc:MGI:2429950],2731,2341,4169,2468,2770,2584,2257,2277,2913
ENSMUSG00000000134,209446,Tfe3,X,7628799,7641441,protein_coding,transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511],1765,1245,1974,1274,1339,1158,1210,1003,1629
ENSMUSG00000000142,12006,Axin2,11,108811175,108841609,protein_coding,axin 2 [Source:MGI Symbol;Acc:MGI:1270862],153,131,173,26,37,23,25,15,38
ENSMUSG00000000148,231841,Brat1,5,140690766,140705134,protein_coding,BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679],703,665,925,501,541,469,480,377,776
ENSMUSG00000000149,14673,Gna12,5,140744163,140816186,protein_coding,"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]",2675,2426,3502,1688,1704,1635,1519,1302,2031
ENSMUSG00000000154,18400,Slc22a18,7,143027473,143053071,protein_coding,"solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]",0,5,3,0,0,0,0,0,0
ENSMUSG00000000157,16415,Itgb2l,16,96223488,96244819,protein_coding,integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979],0,0,0,0,0,0,1,0,1
ENSMUSG00000000159,72058,Igsf5,16,96162868,96223321,protein_coding,"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]",0,0,0,2,10,7,21,11,59
