"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","description"
"ENSMUSG00000063011",521.650893557947,4.76259548445701,0.198675036016399,23.9717861888995,5.47744448563013e-127,8.81868562186451e-123,"56047","Msln","protein_coding","17",25967587,25973352,"mesothelin [Source:MGI Symbol;Acc:MGI:1888992]"
"ENSMUSG00000022865",784.643329808716,4.78778088645568,0.258102923693367,18.5498901676282,8.17188003291515e-77,6.5783634264967e-73,"13052","Cxadr","protein_coding","16",78098377,78156662,"coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"ENSMUSG00000000753",2570.49480762643,-4.00278055984366,0.251845543492315,-15.8937915054503,6.99647170017754e-57,3.75477314576195e-53,"20317","Serpinf1","protein_coding","11",75300595,75313527,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000039470",175.705751195379,4.26091091178963,0.286524795968229,14.8710023416685,5.08463342584013e-50,2.04656495390065e-46,"70546","Zdhhc2","protein_coding","8",40876856,40963309,"zinc finger, DHHC domain containing 2 [Source:MGI Symbol;Acc:MGI:1923452]"
"ENSMUSG00000026915",325.099439416279,3.2211483610077,0.221738946745489,14.5267595444337,8.2009120946357e-48,2.6406936944727e-44,"20744","Strbp","protein_coding","2",37373240,37593871,"spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]"
"ENSMUSG00000046318",298.149623487287,3.9378628585393,0.275777603372733,14.2791249556876,2.95285855803549e-46,7.92350379739522e-43,"320924","Ccbe1","protein_coding","18",66178373,66435812,"collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053]"
"ENSMUSG00000028583",7102.48614888859,1.31635483558153,0.100039180860701,13.158392784268,1.5229095750361e-39,3.50269202258304e-36,"14726","Pdpn","protein_coding","4",142994001,143026134,"podoplanin [Source:MGI Symbol;Acc:MGI:103098]"
"ENSMUSG00000007888",3261.05484608209,-2.83672314669269,0.216933856532197,-13.0764427094932,4.48964177411729e-39,9.03540407041105e-36,"12931","Crlf1","protein_coding","8",70945808,70956731,"cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]"
"ENSMUSG00000031709",90.3193898649034,5.42268963926902,0.430819217452079,12.5869260692211,2.49189663464397e-36,4.45772620197421e-33,"71310","Tbc1d9","protein_coding","8",83891981,83999563,"TBC1 domain family, member 9 [Source:MGI Symbol;Acc:MGI:1918560]"
"ENSMUSG00000022206",353.955960012478,2.99857578935353,0.241245469229132,12.429563128937,1.80618729484688e-35,2.90796154470348e-32,"18162","Npr3","protein_coding","15",11839982,11907373,"natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"ENSMUSG00000022103",145.270779073383,-3.5978107420685,0.290297838934581,-12.3935154160044,2.83344587565314e-35,4.14713441800141e-32,"14586","Gfra2","protein_coding","14",71127560,71217278,"glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]"
"ENSMUSG00000020186",2314.83046300707,-1.3297152980433,0.107814008698548,-12.3334185797806,5.98524982612835e-35,8.03021018338888e-32,"13008","Csrp2","protein_coding","10",110755650,110775483,"cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]"
"ENSMUSG00000120741",166.405844264501,7.32207796471614,0.600116333983291,12.2010976040522,3.06662113164453e-34,3.79789232457515e-31,"102636155","Gm33302","lncRNA","9",97157747,97176521,"predicted gene, 33302 [Source:MGI Symbol;Acc:MGI:5592461]"
"ENSMUSG00000046572",178.661046122485,-8.14918500176368,0.678441901016373,-12.0116180759994,3.08744264525965e-33,3.5505590420486e-30,"100515","Zfp518b","protein_coding","5",38825827,38842169,"zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]"
"ENSMUSG00000021214",1775.89083721751,2.32985897288823,0.194222701407508,11.9958117975089,3.73734809831791e-33,4.01142029219455e-30,"105349","Akr1c18","protein_coding","13",4182614,4200653,"aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"ENSMUSG00000030562",348.163596808259,1.72282314023388,0.144055690184772,11.9594244283173,5.79622770249285e-33,5.83245412563343e-30,"50490","Nox4","protein_coding","7",86895304,87047918,"NADPH oxidase 4 [Source:MGI Symbol;Acc:MGI:1354184]"
"ENSMUSG00000009614",207.450224573975,-4.04206194877683,0.341029326998429,-11.8525347492928,2.08778564466104e-32,1.97725581641428e-29,"192166","Sardh","protein_coding","2",27078405,27138349,"sarcosine dehydrogenase [Source:MGI Symbol;Acc:MGI:2183102]"
"ENSMUSG00000020524",1685.05034602299,-2.79680120296516,0.237322923843252,-11.7847916150418,4.6757515258819e-32,4.1821999759277e-29,"14799","Gria1","protein_coding","11",56902213,57221070,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]"
"ENSMUSG00000035385",1577.78764509955,-3.00336795376689,0.255638263357259,-11.7485071065814,7.18774614733883e-32,6.09066910379764e-29,"20296","Ccl2","protein_coding","11",81926397,81928279,"C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259]"
"ENSMUSG00000062393",122.584082154602,-3.09344423488923,0.264891976004361,-11.6781349195655,1.6487343327969e-31,1.3272311379015e-28,"331374","Dgkk","protein_coding","X",6690410,6814602,"diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]"
"ENSMUSG00000022951",716.098532627026,1.52397348507438,0.131069053867095,11.6272563210818,2.99572100356902e-31,2.29671943606958e-28,"54720","Rcan1","protein_coding","16",92188841,92267755,"regulator of calcineurin 1 [Source:MGI Symbol;Acc:MGI:1890564]"
"ENSMUSG00000050931",1204.71550085901,1.54267174121821,0.133889503242262,11.5219767335074,1.02238231573204e-30,7.48197967422082e-28,"74442","Sgms2","protein_coding","3",131112634,131197172,"sphingomyelin synthase 2 [Source:MGI Symbol;Acc:MGI:1921692]"
"ENSMUSG00000032487",11992.5006725298,2.07265679637355,0.181152758312292,11.4414862665269,2.59403152876925e-30,1.81582207013847e-27,"19225","Ptgs2","protein_coding","1",149975782,149983978,"prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]"
"ENSMUSG00000025757",4588.09396337318,1.51236523876685,0.133564064049663,11.3231448109014,1.0079013971198e-29,6.67134413743121e-27,"18415","Hspa4l","protein_coding","3",40699814,40750538,"heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]"
"ENSMUSG00000040964",108.498362845324,-3.10799355833942,0.274539758409925,-11.3207412155538,1.03592300270671e-29,6.67134413743121e-27,"72754","Arhgef10l","protein_coding","4",140241796,140393323,"Rho guanine nucleotide exchange factor 10-like [Source:MGI Symbol;Acc:MGI:1920004]"
"ENSMUSG00000031239",106.982190702776,-4.63378854583604,0.411060347186056,-11.2727695034488,1.78854052895589e-29,1.10751932754576e-26,"16431","Itm2a","protein_coding","X",106440705,106446982,"integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]"
"ENSMUSG00000022272",3193.78147914418,-1.1937728217628,0.107438353814627,-11.1112352281805,1.10618628750052e-28,6.5961478625031e-26,"17909","Myo10","protein_coding","15",25622611,25813759,"myosin X [Source:MGI Symbol;Acc:MGI:107716]"
"ENSMUSG00000003526",79.3245411953932,-4.44784630688944,0.401896301968397,-11.0671491255453,1.81069546491032e-28,1.04114989232344e-25,"19125","Prodh","protein_coding","16",17878221,17908067,"proline dehydrogenase [Source:MGI Symbol;Acc:MGI:97770]"
"ENSMUSG00000029759",219.144687213092,-2.1647051240024,0.196883972659376,-10.9948265202242,4.04690963222598e-28,2.24673258892546e-25,"269823","Pon3","protein_coding","6",5220852,5256286,"paraoxonase 3 [Source:MGI Symbol;Acc:MGI:106686]"
"ENSMUSG00000025932",256.445257565252,2.54335821128197,0.23232526619647,10.9474025486799,6.83803886779549e-28,3.66974752571691e-25,"14048","Eya1","protein_coding","1",14239178,14380459,"EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]"
"ENSMUSG00000036111",72.2142377389887,3.25272973431238,0.297438892089195,10.9357915888719,7.77246659627098e-28,4.03666813548267e-25,"109594","Lmo1","protein_coding","7",108737779,108774414,"LIM domain only 1 [Source:MGI Symbol;Acc:MGI:102812]"
"ENSMUSG00000047139",381.611334929212,6.57723496412921,0.616957885764271,10.660751918231,1.55336446321337e-26,7.81536495554227e-24,"12484","Cd24a","protein_coding","10",43454280,43460261,"CD24a antigen [Source:MGI Symbol;Acc:MGI:88323]"
"ENSMUSG00000039813",96.914117238895,2.83315133842178,0.267299367908413,10.5991696149185,3.0063769506489e-26,1.46674754258931e-23,"381605","Tbc1d2","protein_coding","4",46604390,46650209,"TBC1 domain family, member 2 [Source:MGI Symbol;Acc:MGI:2652885]"
"ENSMUSG00000000317",1412.06889444527,-1.49047704453484,0.141243835794421,-10.5525103885186,4.94576914601623e-26,2.34196715443709e-23,"12029","Bcl6b","protein_coding","11",70114954,70120624,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
"ENSMUSG00000025026",132.112010529893,3.22883563476692,0.307247899391255,10.5088940922433,7.86099361571116e-26,3.61605706322713e-23,"27360","Add3","protein_coding","19",53128874,53235830,"adducin 3 [Source:MGI Symbol;Acc:MGI:1351615]"
"ENSMUSG00000025185",1476.73975416268,1.24359428741052,0.118429237298805,10.5007371133603,8.57082158655247e-26,3.83306187620819e-23,"67573","Loxl4","protein_coding","19",42582421,42601252,"lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]"
"ENSMUSG00000032452",296.520770499079,-3.50067804559236,0.335760046022344,-10.426130467469,1.88405389319398e-25,8.1981804541684e-23,"64085","Clstn2","protein_coding","9",97326448,97915234,"calsyntenin 2 [Source:MGI Symbol;Acc:MGI:1929897]"
"ENSMUSG00000031253",67.0243118441108,4.26402419665196,0.410980984762732,10.3752347547507,3.21421411993152e-25,1.36181177186572e-22,"68792","Srpx2","protein_coding","X",132809175,132833195,"sushi-repeat-containing protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1916042]"
"ENSMUSG00000022747",279.355153918245,3.00529556234192,0.290128199230703,10.358508998128,3.82883788003429e-25,1.58062281714236e-22,"54613","St3gal6","protein_coding","16",58288488,58344606,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:1888707]"
"ENSMUSG00000031075",583.016875224173,2.33976602218619,0.228055199413846,10.2596477879036,1.07096646056776e-24,4.31064000378524e-22,"101772","Ano1","protein_coding","7",144142286,144305711,"anoctamin 1, calcium activated chloride channel [Source:MGI Symbol;Acc:MGI:2142149]"
"ENSMUSG00000021245",277.539926181919,2.24328550962337,0.221176732242037,10.1425022735597,3.57814538936235e-24,1.39139218348416e-21,"217716","Mlh3","protein_coding","12",85281294,85317373,"mutL homolog 3 [Source:MGI Symbol;Acc:MGI:1353455]"
"ENSMUSG00000021662",642.115925618927,1.95753369663928,0.193029633419533,10.1411045649388,3.62971873952391e-24,1.39139218348416e-21,"110596","Arhgef28","protein_coding","13",98035977,98342947,"Rho guanine nucleotide exchange factor 28 [Source:MGI Symbol;Acc:MGI:1346016]"
