"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","description"
"ENSMUSG00000063011",521.650893557947,4.5462086912564,0.199102167718786,22.8335469339416,2.12957372111161e-115,3.42861369098969e-111,"56047","Msln","protein_coding","17",25967587,25973352,"mesothelin [Source:MGI Symbol;Acc:MGI:1888992]"
"ENSMUSG00000022865",784.643329808716,4.52314729584993,0.258367961680386,17.506610596887,1.27567120254544e-68,1.02691531804908e-64,"13052","Cxadr","protein_coding","16",78098377,78156662,"coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"ENSMUSG00000046572",178.661046122485,-5.94803925971419,0.366929319018488,-16.2103134075653,4.26388652583807e-59,2.28828576886643e-55,"100515","Zfp518b","protein_coding","5",38825827,38842169,"zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]"
"ENSMUSG00000032826",515.789791204147,-2.67821739336458,0.170821611563287,-15.6784458878164,2.12387358169763e-55,8.54859116633295e-52,"109676","Ank2","protein_coding","3",126715261,127292999,"ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]"
"ENSMUSG00000026915",325.099439416279,3.32507485354139,0.221530102879584,15.009584748619,6.35442669750024e-51,2.04612539659508e-47,"20744","Strbp","protein_coding","2",37373240,37593871,"spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]"
"ENSMUSG00000062393",122.584082154602,-4.79411447643839,0.341754312863247,-14.0279560374027,1.05138308277694e-44,2.82121127211813e-41,"331374","Dgkk","protein_coding","X",6690410,6814602,"diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]"
"ENSMUSG00000029673",137.97896125738,-4.41296337178391,0.317501804796007,-13.8990182264294,6.42161468966761e-44,1.47697137862355e-40,"319974","Auts2","protein_coding","5",131466171,132572183,"autism susceptibility candidate 2 [Source:MGI Symbol;Acc:MGI:1919847]"
"ENSMUSG00000020186",2314.83046300707,-1.45394052880007,0.108061538936705,-13.4547457227283,2.88730830633737e-41,5.81070796650395e-38,"13008","Csrp2","protein_coding","10",110755650,110775483,"cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]"
"ENSMUSG00000020524",1685.05034602299,-3.13433312494539,0.238126171528868,-13.1624890486488,1.44254121754396e-39,2.58054595582864e-36,"14799","Gria1","protein_coding","11",56902213,57221070,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]"
"ENSMUSG00000000753",2570.49480762643,-3.28138649168578,0.250419979887026,-13.1035330853638,3.14280009736238e-39,5.05990815675343e-36,"20317","Serpinf1","protein_coding","11",75300595,75313527,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000036782",127.640873705554,-4.26789084795685,0.326696037349594,-13.0637974141995,5.3015802186346e-39,7.75958559272882e-36,"67455","Klhl13","protein_coding","X",23085510,23231321,"kelch-like 13 [Source:MGI Symbol;Acc:MGI:1914705]"
"ENSMUSG00000000317",1412.06889444527,-1.79535717821402,0.142004963873387,-12.6429184532928,1.22423978348463e-36,1.64252170950854e-33,"12029","Bcl6b","protein_coding","11",70114954,70120624,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
"ENSMUSG00000026832",770.695584927879,-2.07182316376353,0.164311748729045,-12.6090993479719,1.88130620081643e-36,2.32992537178035e-33,"227929","Cytip","protein_coding","2",58019149,58085544,"cytohesin 1 interacting protein [Source:MGI Symbol;Acc:MGI:2183535]"
"ENSMUSG00000022206",353.955960012478,3.0367601441787,0.241216120151426,12.5893747991318,2.41579154486779e-36,2.77816027659796e-33,"18162","Npr3","protein_coding","15",11839982,11907373,"natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"ENSMUSG00000072941",203.087890620622,4.12743435580139,0.328563684750959,12.5620527993831,3.41359709024579e-36,3.66392754353048e-33,"20657","Sod3","protein_coding","5",52521133,52528760,"superoxide dismutase 3, extracellular [Source:MGI Symbol;Acc:MGI:103181]"
"ENSMUSG00000039470",175.705751195379,3.62896232089792,0.289007682610284,12.5566292498578,3.65577947451171e-36,3.67862809622741e-33,"70546","Zdhhc2","protein_coding","8",40876856,40963309,"zinc finger, DHHC domain containing 2 [Source:MGI Symbol;Acc:MGI:1923452]"
"ENSMUSG00000033350",130.32220490997,-3.83907004452192,0.318255045760174,-12.0628725158215,1.65894143585581e-33,1.57111512454579e-30,"54371","Chst2","protein_coding","9",95281345,95288775,"carbohydrate sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1891160]"
"ENSMUSG00000028583",7102.48614888859,1.20020420336597,0.100082894776974,11.9921012081088,3.90862697828188e-33,3.49604968612991e-30,"14726","Pdpn","protein_coding","4",142994001,143026134,"podoplanin [Source:MGI Symbol;Acc:MGI:103098]"
"ENSMUSG00000028108",1336.82379558162,-2.01052460224748,0.169612584477628,-11.8536287177009,2.06070072467909e-32,1.74617271933334e-29,"13601","Ecm1","protein_coding","3",95641459,95646881,"extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060]"
"ENSMUSG00000031239",106.982190702776,-5.84760128817326,0.502679256095151,-11.6328677128988,2.8051261110456e-31,2.25812651939171e-28,"16431","Itm2a","protein_coding","X",106440705,106446982,"integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]"
"ENSMUSG00000046318",298.149623487287,3.19837719443199,0.277592229300939,11.5218542049483,1.02383742695454e-30,7.84942027331811e-28,"320924","Ccbe1","protein_coding","18",66178373,66435812,"collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053]"
"ENSMUSG00000029851",132.652100314308,3.94317460127186,0.345600579053173,11.4096296136853,3.74319790163811e-30,2.73934028256244e-27,"232748","Tcaf2","protein_coding","6",42599950,42622188,"TRPM8 channel-associated factor 2 [Source:MGI Symbol;Acc:MGI:2385258]"
"ENSMUSG00000120741",166.405844264501,6.80427512746307,0.601118141851141,11.3193641211848,1.05232439017478e-29,7.36627073122344e-27,"102636155","Gm33302","lncRNA","9",97157747,97176521,"predicted gene, 33302 [Source:MGI Symbol;Acc:MGI:5592461]"
"ENSMUSG00000021214",1775.89083721751,2.18295655727342,0.194322835618764,11.2336594426612,2.78691838065303e-29,1.86955774702141e-26,"105349","Akr1c18","protein_coding","13",4182614,4200653,"aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"ENSMUSG00000032340",1957.44647339247,1.30047614101412,0.117479264381649,11.0698355821273,1.75722714289177e-28,1.1316542800223e-25,"18007","Neo1","protein_coding","9",58781970,58943724,"neogenin [Source:MGI Symbol;Acc:MGI:1097159]"
"ENSMUSG00000025185",1476.73975416268,1.30076450192536,0.118389330373541,10.9871767820732,4.40489643218183e-28,2.72764740608183e-25,"67573","Loxl4","protein_coding","19",42582421,42601252,"lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]"
"ENSMUSG00000026768",260.152857895686,-3.09725056132334,0.283618349340805,-10.920487227015,9.20009391326746e-28,5.48598192605948e-25,"241226","Itga8","protein_coding","2",12111443,12306733,"integrin alpha 8 [Source:MGI Symbol;Acc:MGI:109442]"
"ENSMUSG00000022995",552.701865668124,6.63300667220704,0.607769748603388,10.9136834918968,9.91554594840308e-28,5.70143892033177e-25,"13800","Enah","protein_coding","1",181723949,181847555,"ENAH actin regulator [Source:MGI Symbol;Acc:MGI:108360]"
"ENSMUSG00000007888",3261.05484608209,-2.34846414865699,0.216457014576672,-10.8495636108163,2.00379739574104e-27,1.11245303694589e-24,"12931","Crlf1","protein_coding","8",70945808,70956731,"cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]"
"ENSMUSG00000025026",132.112010529893,3.3131872537273,0.30696388304681,10.7934106802462,3.69805226883652e-27,1.9846213842756e-24,"27360","Add3","protein_coding","19",53128874,53235830,"adducin 3 [Source:MGI Symbol;Acc:MGI:1351615]"
"ENSMUSG00000021678",316.881373340423,2.32944803994994,0.217386298872945,10.7157077149164,8.5897763495297e-27,4.4611419105622e-24,"14063","F2rl1","protein_coding","13",95648240,95661735,"F2R like trypsin receptor 1 [Source:MGI Symbol;Acc:MGI:101910]"
"ENSMUSG00000022272",3193.78147914418,-1.14612339322747,0.107413262985357,-10.6702222926019,1.40290356692571e-26,7.058358571095e-24,"17909","Myo10","protein_coding","15",25622611,25813759,"myosin X [Source:MGI Symbol;Acc:MGI:107716]"
"ENSMUSG00000059921",119.649413936399,-4.00473229281318,0.375984973979671,-10.651309413843,1.71929439839177e-26,8.38807267094165e-24,"22253","Unc5c","protein_coding","3",141170977,141540685,"unc-5 netrin receptor C [Source:MGI Symbol;Acc:MGI:1095412]"
"ENSMUSG00000016552",95.2552336637632,-7.24934213792467,0.682950878018331,-10.614734340718,2.54517388595802e-26,1.20521469305659e-23,"239554","Foxred2","protein_coding","15",77824722,77840922,"FAD-dependent oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:106315]"
"ENSMUSG00000025757",4588.09396337318,1.40958835451327,0.133608975379055,10.5501022705563,5.07418329859111e-26,2.28693184293807e-23,"18415","Hspa4l","protein_coding","3",40699814,40750538,"heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]"
"ENSMUSG00000040964",108.498362845324,-2.80432912419155,0.265828946956112,-10.5493745369068,5.11363641899196e-26,2.28693184293807e-23,"72754","Arhgef10l","protein_coding","4",140241796,140393323,"Rho guanine nucleotide exchange factor 10-like [Source:MGI Symbol;Acc:MGI:1920004]"
"ENSMUSG00000047139",381.611334929212,6.43828679965316,0.617085499534109,10.4333788502792,1.74568003142782e-25,7.5960671637805e-23,"12484","Cd24a","protein_coding","10",43454280,43460261,"CD24a antigen [Source:MGI Symbol;Acc:MGI:88323]"
"ENSMUSG00000074158",60.9358912842102,3.94018489290964,0.380906418612491,10.3442333874613,4.44459149983047e-25,1.88310324071765e-22,"208111","Zfp976","protein_coding","7",42258950,42292012,"zinc finger protein 976 [Source:MGI Symbol;Acc:MGI:3036263]"
"ENSMUSG00000034285",158.925038020363,2.41922288641161,0.234439267937891,10.3191880254997,5.77091182736288e-25,2.38235078001391e-22,"18082","Nipsnap1","protein_coding","11",4823951,4844200,"nipsnap homolog 1 [Source:MGI Symbol;Acc:MGI:1278344]"
"ENSMUSG00000035413",536.607962986701,-1.47349016622512,0.1453564601139,-10.1370806985153,3.78234055968424e-24,1.52239207527291e-21,"103743","Tmem98","protein_coding","11",80701001,80712859,"transmembrane protein 98 [Source:MGI Symbol;Acc:MGI:1923457]"
"ENSMUSG00000031709",90.3193898649034,4.39611593176033,0.436121757746809,10.080019750614,6.77125108231673e-24,2.65895469329998e-21,"71310","Tbc1d9","protein_coding","8",83891981,83999563,"TBC1 domain family, member 9 [Source:MGI Symbol;Acc:MGI:1918560]"
"ENSMUSG00000022747",279.355153918245,2.90664712208133,0.290421651899061,10.0083692213539,1.40041875144298e-23,5.36827188053142e-21,"54613","St3gal6","protein_coding","16",58288488,58344606,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:1888707]"
"ENSMUSG00000020099",1914.80577568626,-1.62407696391836,0.162446477095823,-9.99761270883312,1.5611511019613e-23,5.84524017245976e-21,"107449","Unc5b","protein_coding","10",60598372,60667360,"unc-5 netrin receptor B [Source:MGI Symbol;Acc:MGI:894703]"
"ENSMUSG00000140314",106.560437421378,3.41145582905947,0.341577811414262,9.98734611869181,1.73155515559424e-23,6.33591772842438e-21,"#N/A","","lncRNA","2",180036618,180096667,"novel transcript"
"ENSMUSG00000041620",82.7132089595335,2.79959576650454,0.282272743184709,9.9180520758697,3.4747102554081e-23,1.24317411360156e-20,"83996","Mmp1b","protein_coding","9",7368239,7388047,"matrix metallopeptidase 1b (interstitial collagenase) [Source:MGI Symbol;Acc:MGI:1933847]"
"ENSMUSG00000025932",256.445257565252,2.31180610950897,0.233170922243246,9.91464153106223,3.5954476678521e-23,1.25840668374824e-20,"14048","Eya1","protein_coding","1",14239178,14380459,"EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]"
"ENSMUSG00000028565",86.016059020228,4.38239469312878,0.44518647597365,9.84395288186645,7.27932624933284e-23,2.49355643860125e-20,"18027","Nfia","protein_coding","4",97660971,98007111,"nuclear factor I/A [Source:MGI Symbol;Acc:MGI:108056]"
"ENSMUSG00000020814",1078.66398575268,-1.10087048050486,0.112696176863055,-9.76848116012496,1.53739483120928e-22,5.15667849634779e-20,"67622","Mxra7","protein_coding","11",116693888,116718872,"matrix-remodelling associated 7 [Source:MGI Symbol;Acc:MGI:1914872]"
"ENSMUSG00000052914",56.2352450062837,-3.61689895041806,0.370677783628624,-9.75752826352758,1.71278719491913e-22,5.62772935473429e-20,"13110","Cyp2j6","protein_coding","4",96404375,96441898,"cytochrome P450, family 2, subfamily j, polypeptide 6 [Source:MGI Symbol;Acc:MGI:1270148]"
"ENSMUSG00000030562",348.163596808259,1.41420564167158,0.145439278674747,9.72368437576099,2.38974539945927e-22,7.69498018625886e-20,"50490","Nox4","protein_coding","7",86895304,87047918,"NADPH oxidase 4 [Source:MGI Symbol;Acc:MGI:1354184]"
"ENSMUSG00000021550",82.2575480962063,3.13067946746422,0.322876075558976,9.69622621324377,3.12856730340044e-22,9.87645756563668e-20,"70153","Qng1","protein_coding","13",58527631,58533039,"Q-nucleotide N-glycosylase 1 [Source:MGI Symbol;Acc:MGI:1917403]"
"ENSMUSG00000021662",642.115925618927,1.86166906480853,0.193229142477701,9.63451496465326,5.71613085450917e-22,1.76980205303072e-19,"110596","Arhgef28","protein_coding","13",98035977,98342947,"Rho guanine nucleotide exchange factor 28 [Source:MGI Symbol;Acc:MGI:1346016]"
"ENSMUSG00000022148",121.301738165115,-2.81101880704408,0.291914141379736,-9.62960819149686,5.99576557053195e-22,1.82135520161442e-19,"23880","Fyb1","protein_coding","15",6552334,6692794,"FYN binding protein 1 [Source:MGI Symbol;Acc:MGI:1346327]"
"ENSMUSG00000050931",1204.71550085901,1.29228409260283,0.134255625770827,9.62554891225746,6.23730064266137e-22,1.85963963605274e-19,"74442","Sgms2","protein_coding","3",131112634,131197172,"sphingomyelin synthase 2 [Source:MGI Symbol;Acc:MGI:1921692]"
"ENSMUSG00000001020",1020.75165127247,-1.10663110757655,0.11533847267405,-9.59463986231139,8.42106702088573e-22,2.46507598247746e-19,"20198","S100a4","protein_coding","3",90511078,90513352,"S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]"
