"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","description"
"ENSMUSG00000063011",521.650893557947,4.74610086779068,0.198928154904714,5.47744448563013e-127,8.81868562186451e-123,"56047","Msln","protein_coding","17",25967587,25973352,"mesothelin [Source:MGI Symbol;Acc:MGI:1888992]"
"ENSMUSG00000022865",784.643329808716,4.76006926676259,0.259129063631192,8.17188003291515e-77,6.5783634264967e-73,"13052","Cxadr","protein_coding","16",78098377,78156662,"coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"ENSMUSG00000000753",2570.49480762643,-3.96855778742128,0.25284041548723,6.99647170017754e-57,3.75477314576195e-53,"20317","Serpinf1","protein_coding","11",75300595,75313527,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000039470",175.705751195379,4.22176733311447,0.28805084428929,5.08463342584013e-50,2.04656495390065e-46,"70546","Zdhhc2","protein_coding","8",40876856,40963309,"zinc finger, DHHC domain containing 2 [Source:MGI Symbol;Acc:MGI:1923452]"
"ENSMUSG00000026915",325.099439416279,3.19113788421792,0.222776866536565,8.2009120946357e-48,2.6406936944727e-44,"20744","Strbp","protein_coding","2",37373240,37593871,"spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]"
"ENSMUSG00000046318",298.149623487287,3.89940333321939,0.276811894046886,2.95285855803549e-46,7.92350379739522e-43,"320924","Ccbe1","protein_coding","18",66178373,66435812,"collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053]"
"ENSMUSG00000028583",7102.48614888859,1.30276961842302,0.100456991048904,1.5229095750361e-39,3.50269202258304e-36,"14726","Pdpn","protein_coding","4",142994001,143026134,"podoplanin [Source:MGI Symbol;Acc:MGI:103098]"
"ENSMUSG00000007888",3261.05484608209,-2.80290527274156,0.218123644907673,4.48964177411729e-39,9.03540407041105e-36,"12931","Crlf1","protein_coding","8",70945808,70956731,"cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]"
"ENSMUSG00000031709",90.3193898649034,5.35360231640657,0.428049202998304,2.49189663464397e-36,4.45772620197421e-33,"71310","Tbc1d9","protein_coding","8",83891981,83999563,"TBC1 domain family, member 9 [Source:MGI Symbol;Acc:MGI:1918560]"
"ENSMUSG00000022206",353.955960012478,2.96120864394323,0.242365929549347,1.80618729484688e-35,2.90796154470348e-32,"18162","Npr3","protein_coding","15",11839982,11907373,"natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"ENSMUSG00000022103",145.270779073383,-3.55056119767514,0.29158527075951,2.83344587565314e-35,4.14713441800141e-32,"14586","Gfra2","protein_coding","14",71127560,71217278,"glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]"
"ENSMUSG00000020186",2314.83046300707,-1.31356038739868,0.108332001068403,5.98524982612835e-35,8.03021018338888e-32,"13008","Csrp2","protein_coding","10",110755650,110775483,"cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]"
"ENSMUSG00000120741",166.405844264501,7.22116097892581,0.589525705127606,3.06662113164453e-34,3.79789232457515e-31,"102636155","Gm33302","lncRNA","9",97157747,97176521,"predicted gene, 33302 [Source:MGI Symbol;Acc:MGI:5592461]"
"ENSMUSG00000046572",178.661046122485,-8.03823276302592,0.662099023100976,3.08744264525965e-33,3.5505590420486e-30,"100515","Zfp518b","protein_coding","5",38825827,38842169,"zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]"
"ENSMUSG00000021214",1775.89083721751,2.2990624423097,0.195550182701176,3.73734809831791e-33,4.01142029219455e-30,"105349","Akr1c18","protein_coding","13",4182614,4200653,"aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"ENSMUSG00000030562",348.163596808259,1.69992303142732,0.144825853516436,5.79622770249285e-33,5.83245412563343e-30,"50490","Nox4","protein_coding","7",86895304,87047918,"NADPH oxidase 4 [Source:MGI Symbol;Acc:MGI:1354184]"
"ENSMUSG00000009614",207.450224573975,-3.98329946504548,0.343220004872543,2.08778564466104e-32,1.97725581641428e-29,"192166","Sardh","protein_coding","2",27078405,27138349,"sarcosine dehydrogenase [Source:MGI Symbol;Acc:MGI:2183102]"
"ENSMUSG00000020524",1685.05034602299,-2.75605856405824,0.238949085807146,4.6757515258819e-32,4.1821999759277e-29,"14799","Gria1","protein_coding","11",56902213,57221070,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]"
"ENSMUSG00000035385",1577.78764509955,-2.95920858205541,0.257426016225575,7.18774614733883e-32,6.09066910379764e-29,"20296","Ccl2","protein_coding","11",81926397,81928279,"C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259]"
"ENSMUSG00000062393",122.584082154602,-3.0480050969705,0.266354543609808,1.6487343327969e-31,1.3272311379015e-28,"331374","Dgkk","protein_coding","X",6690410,6814602,"diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]"
"ENSMUSG00000022951",716.098532627026,1.50312170365147,0.131789173811079,2.99572100356902e-31,2.29671943606958e-28,"54720","Rcan1","protein_coding","16",92188841,92267755,"regulator of calcineurin 1 [Source:MGI Symbol;Acc:MGI:1890564]"
"ENSMUSG00000050931",1204.71550085901,1.52079067915344,0.134672811005873,1.02238231573204e-30,7.48197967422082e-28,"74442","Sgms2","protein_coding","3",131112634,131197172,"sphingomyelin synthase 2 [Source:MGI Symbol;Acc:MGI:1921692]"
"ENSMUSG00000032487",11992.5006725298,2.04273353641443,0.182387950205432,2.59403152876925e-30,1.81582207013847e-27,"19225","Ptgs2","protein_coding","1",149975782,149983978,"prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]"
